Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,40.0,36.0,31.484475208126824,40.15,10.524913984604595,28.34441434252126,29.866709303186884,33.32629651688269
2014-01-29,40.0,41.0,40.6972941791794,42.7,18.246686721923304,53.2925494858833,35.93467232879943,45.56328122168757
2014-01-30,38.0,37.0,48.60962330780208,41.99,23.058815374940394,54.641078224077646,53.36773743213358,48.41356717729324
2014-01-31,44.0,59.0,54.93303174867816,55.01,43.12052743662704,73.00812168195779,80.72171001188165,60.98371781021198
2014-02-01,78.0,79.0,69.77660697701536,89.4449,99.30576096914537,125.70174616291476,146.5915721898409,94.97441771331005
2014-02-02,44.0,72.0,92.13530973542093,64.73,66.92319672768781,82.5156154602931,125.99302085775392,79.79364173190469
2014-02-03,36.0,36.0,26.821875810607672,94.02,36.140896139107014,51.155916609193845,95.95690847112252,57.33259747326718
2014-02-04,30.0,40.0,31.735597305456118,80.11,10.342363707336375,35.74622108327506,55.62977323176602,49.19727279624373
2014-02-05,30.0,40.0,34.294206842061946,70.68,18.06413644465509,58.704923253220514,51.43833711547706,54.55971003176082
2014-02-06,31.0,38.0,41.62711907482424,72.74,22.876265097672174,60.47556363591281,61.07117009963831,58.28089423691235
2014-02-07,50.0,44.0,49.81141953310495,69.87,42.93797715935882,78.75224000224715,84.08345766993914,66.1445531784507
2014-02-08,94.0,78.0,70.44622800153137,135.4886,99.12321069187715,131.19122408203367,142.85227712209456,112.37535069452167
2014-02-09,67.0,44.0,97.84401740812406,68.75,66.7406464504196,92.74650410806362,117.54850547954604,86.44684050539588
2014-02-10,34.0,36.0,37.75353034137579,88.84,35.958345861838794,60.258917838565246,85.16465841298876,62.28414939331369
2014-02-11,44.0,30.0,28.34513280814585,94.12,10.159813430068155,33.509850682372495,59.0913497029888,51.991661163506116
2014-02-12,46.0,30.0,41.04495928898811,94.97,17.88158616738687,60.83306229509962,47.97101933720763,65.61600719469591
2014-02-13,61.0,31.0,49.73994281029583,92.47,22.693714820403954,63.535747817062926,56.52016651310804,68.58189687578624
2014-02-14,82.0,50.0,66.64050490216347,72.85,42.7554268820906,86.39382890186734,72.72214090391275,75.29477793467693
2014-02-15,303.0,94.0,86.70100072580354,211.75190000000006,98.94066041460893,143.4876583080248,129.56463951050173,147.31351967794282
2014-02-16,268.0,67.0,208.80330260914377,232.92960000000002,66.55809617315137,194.0475724398906,9.340199168457076,211.9268250163448
2014-02-17,206.0,34.0,140.0069579759596,186.12,35.775795584570574,161.91538419346182,-14.390235168560153,162.6807807231405
2014-02-18,31.0,44.0,118.39643177906177,105.79,9.977263152799935,110.13529376834889,-19.23992395960373,111.44057518247023
2014-02-19,41.0,46.0,34.944106772709674,39.7,17.69903589011865,37.23436861794181,72.32604156973586,37.29282513021716
2014-02-20,33.0,61.0,50.54530888814857,47.32,22.51116454313574,39.07083248972836,77.0011733591289,45.64538045929231
2014-02-21,44.0,82.0,53.43298940585493,59.04,42.57287660482238,55.39771457961791,102.94698909700789,55.95690132849094
2014-02-22,79.0,303.0,76.2090279496009,101.26979999999999,98.75811013734071,98.82131463500517,154.67781983314185,92.10004752820203
2014-02-23,53.0,268.0,100.97109605916133,66.03,66.37554589588316,58.08261851723856,128.00664370851172,75.02790485879996
2014-02-24,30.0,206.0,36.94414232403949,50.0849,35.59324530730236,41.02262552061152,88.09123367024633,42.683889281550336
2014-02-25,31.0,31.0,25.860158062056144,92.98,9.794712875531715,31.178114483824473,61.0260163491785,50.006090848626876
2014-02-26,33.0,41.0,37.11858107353657,77.65,17.51648561285043,47.983143342102444,54.64996270503943,54.250574805213006
2014-02-27,30.0,33.0,43.74387518699207,89.82,22.32861426586752,53.67960324644477,63.243246551675405,62.414492811145614
2014-02-28,39.0,44.0,50.79283283043532,69.01,42.39032632755416,68.51387982918018,87.7753748485737,62.77223755320517
2014-03-01,68.0,79.0,66.02132634087742,130.89860000000002,98.57555986007249,123.3626051030055,150.26250574556963,106.76084381462765
