iteration,score,profit,units
0,1041097.0,4153.0,30905
1,1041097.0,4153.0,30905
2,1041097.0,4153.0,30905
3,1036022.0,4128.0,30803
4,1031410.0,4140.0,30711
5,1031410.0,4140.0,30711
6,1025138.0,4112.0,30585
7,1025138.0,4112.0,30585
8,1012595.0,4055.0,30333
9,1012595.0,4055.0,30333
10,1012595.0,4055.0,30333
11,1012571.0,4079.0,30333
12,1012558.0,4092.0,30333
13,1006648.0,4052.0,30214
14,992719.0,3981.0,29934
15,986809.0,3941.0,29815
16,986809.0,3941.0,29815
17,986809.0,3941.0,29815
18,986749.0,4001.0,29815
19,984278.0,4022.0,29766
20,984278.0,4022.0,29766
21,977315.0,3985.0,29626
22,977155.0,4045.0,29624
23,973191.0,4059.0,29545
24,973163.0,4087.0,29545
25,973163.0,4087.0,29545
26,973103.0,4147.0,29545
27,973089.0,4161.0,29545
28,972535.0,4315.0,29537
29,968069.0,4281.0,29447
30,968009.0,4341.0,29447
31,964627.0,4373.0,29380
32,964627.0,4373.0,29380
33,959553.0,4347.0,29278
34,945615.0,4285.0,28998
35,944891.0,4309.0,28984
36,939518.0,4282.0,28876
37,939518.0,4282.0,28876
38,939518.0,4282.0,28876
39,938104.0,4296.0,28848
40,934990.0,4260.0,28785
41,934990.0,4260.0,28785
42,933382.0,4268.0,28753
43,928917.0,4233.0,28663
44,922960.0,4190.0,28543
45,922960.0,4190.0,28543
46,916697.0,4153.0,28417
47,916344.0,4156.0,28410
48,916344.0,4156.0,28410
49,906208.0,4092.0,28206
50,899938.0,4062.0,28080
51,899938.0,4062.0,28080
52,889207.0,3993.0,27864
53,884332.0,3968.0,27766
54,882921.0,3979.0,27738
55,880473.0,3977.0,27689
56,875107.0,3943.0,27581
57,875107.0,3943.0,27581
58,875107.0,3943.0,27581
59,873703.0,3947.0,27553
60,861888.0,3862.0,27315
61,861272.0,3878.0,27303
62,861272.0,3878.0,27303
63,860010.0,3890.0,27278
64,848199.0,3801.0,27040
65,848199.0,3801.0,27040
66,845001.0,3799.0,26976
67,844640.0,3810.0,26969
68,839267.0,3783.0,26861
69,838008.0,3792.0,26836
70,832091.0,3759.0,26717
71,824778.0,3722.0,26570
72,824009.0,3791.0,26556
73,815047.0,3753.0,26376
74,814927.0,3873.0,26376
75,811129.0,3871.0,26300
76,809647.0,4003.0,26273
77,799533.0,3917.0,26069
78,799533.0,3917.0,26069
79,799513.0,3937.0,26069
80,790558.0,3892.0,25889
81,790558.0,3892.0,25889
82,780808.0,3842.0,25693
83,780808.0,3842.0,25693
84,780808.0,3842.0,25693
85,776334.0,3816.0,25603
86,776334.0,3816.0,25603
87,776334.0,3816.0,25603
88,776334.0,3816.0,25603
89,766799.0,3751.0,25411
90,761425.0,3725.0,25303
91,759127.0,3723.0,25257
92,751471.0,3679.0,25103
93,739666.0,3584.0,24865
94,739658.0,3592.0,24865
95,736037.0,3613.0,24793
96,732936.0,3564.0,24730
97,720409.0,3491.0,24478
98,720409.0,3491.0,24478
99,720361.0,3539.0,24478
100,719152.0,3548.0,24454
101,714460.0,3590.0,24361
102,710264.0,3586.0,24277
103,710264.0,3586.0,24277
