iteration,score,profit,units
0,1537.0,-1537.0,4059
1,1444.0,-1444.0,4311
2,1413.0,-1413.0,4401
3,1354.0,-1354.0,4605
4,1304.0,-1304.0,4731
5,1256.0,-1256.0,4871
6,1197.0,-1197.0,5039
7,1158.0,-1158.0,5135
8,1102.0,-1102.0,5373
9,1064.0,-1064.0,5469
10,1030.0,-1030.0,5571
11,1000.0,-1000.0,5655
12,906.0,-906.0,5893
13,822.0,-822.0,6159
14,816.0,-816.0,6153
15,765.0,-765.0,6279
16,765.0,-765.0,6279
17,765.0,-765.0,6279
18,718.0,-718.0,6419
19,684.0,-684.0,6521
20,585.0,-585.0,6773
21,571.0,-571.0,6767
22,528.0,-528.0,6886
23,426.0,-426.0,7138
24,410.0,-410.0,7156
25,372.0,-372.0,7252
26,371.0,-371.0,7252
27,313.0,-313.0,7456
28,278.0,-278.0,7558
29,193.0,-193.0,7774
30,105.0,-105.0,8012
31,105.0,-105.0,8012
32,49.0,-49.0,8204
33,23.0,-23.0,8294
34,-46.0,46.0,8474
35,-71.0,71.0,8564
36,-117.0,117.0,8683
37,-117.0,117.0,8683
38,-117.0,117.0,8683
39,-117.0,117.0,8683
40,-140.0,140.0,8773
41,-241.0,241.0,9025
42,-241.0,241.0,9025
43,-241.0,241.0,9025
44,-241.0,241.0,9025
45,-241.0,241.0,9025
46,-241.0,241.0,9025
47,-241.0,241.0,9025
48,-241.0,241.0,9025
49,-285.0,285.0,9144
50,-285.0,285.0,9144
51,-285.0,285.0,9144
52,-285.0,285.0,9144
53,-285.0,285.0,9144
54,-285.0,285.0,9144
55,-288.0,288.0,9144
56,-288.0,288.0,9144
57,-288.0,288.0,9144
58,-298.0,298.0,9138
59,-298.0,298.0,9138
60,-298.0,298.0,9138
61,-350.0,350.0,9278
62,-350.0,350.0,9278
63,-361.0,361.0,9278
64,-361.0,361.0,9278
65,-404.0,404.0,9374
66,-436.0,436.0,9470
67,-436.0,436.0,9470
68,-436.0,436.0,9470
69,-436.0,436.0,9470
70,-436.0,436.0,9470
71,-436.0,436.0,9470
72,-436.0,436.0,9470
73,-436.0,436.0,9470
74,-447.0,447.0,9470
75,-447.0,447.0,9470
76,-447.0,447.0,9470
77,-447.0,447.0,9470
78,-447.0,447.0,9470
79,-523.0,523.0,9662
80,-608.0,608.0,9928
81,-608.0,608.0,9928
82,-608.0,608.0,9928
83,-608.0,608.0,9928
84,-608.0,608.0,9928
85,-608.0,608.0,9928
86,-608.0,608.0,9928
87,-608.0,608.0,9928
88,-608.0,608.0,9928
89,-608.0,608.0,9928
90,-608.0,608.0,9928
91,-608.0,608.0,9928
92,-608.0,608.0,9928
93,-608.0,608.0,9928
94,-608.0,608.0,9928
95,-608.0,608.0,9928
96,-608.0,608.0,9928
97,-608.0,608.0,9928
98,-608.0,608.0,9928
99,-610.0,610.0,9907
100,-624.0,624.0,9900
101,-624.0,624.0,9900
102,-624.0,624.0,9900
103,-624.0,624.0,9900
104,-624.0,624.0,9900
105,-624.0,624.0,9900
106,-624.0,624.0,9900
107,-627.0,627.0,9900
108,-627.0,627.0,9900
109,-627.0,627.0,9900
110,-627.0,627.0,9900
111,-627.0,627.0,9900
112,-627.0,627.0,9900
113,-627.0,627.0,9900
114,-627.0,627.0,9900
115,-627.0,627.0,9900
116,-627.0,627.0,9900
117,-627.0,627.0,9900
118,-627.0,627.0,9900
119,-627.0,627.0,9900
120,-627.0,627.0,9900
121,-627.0,627.0,9900
122,-627.0,627.0,9900
123,-627.0,627.0,9900
124,-627.0,627.0,9900
125,-669.0,669.0,9996
126,-669.0,669.0,9996
127,-686.0,686.0,9996
128,-686.0,686.0,9996
129,-686.0,686.0,9996
130,-686.0,686.0,9996
131,-686.0,686.0,9996
132,-686.0,686.0,9996
133,-686.0,686.0,9996
134,-686.0,686.0,9996
135,-686.0,686.0,9996
136,-686.0,686.0,9996
137,-686.0,686.0,9996
138,-686.0,686.0,9996
139,-686.0,686.0,9996
140,-686.0,686.0,9996
141,-686.0,686.0,9996
142,-686.0,686.0,9996
143,-686.0,686.0,9996
144,-686.0,686.0,9996
145,-686.0,686.0,9996
146,-686.0,686.0,9996
