iteration,lucro
0,1522
1,1522
2,1614
3,1663
4,1673
5,1673
6,1741
7,1741
8,1741
9,1744
10,1760
11,1760
12,1814
13,1825
14,1829
15,1829
16,1829
17,1829
18,1949
19,1949
20,1998
21,1998
22,1998
23,1998
24,1998
25,1998
26,1998
27,1998
28,1998
29,2014
30,2057
31,2085
32,2085
33,2085
34,2085
35,2085
36,2120
37,2200
38,2234
39,2234
40,2234
41,2234
42,2234
43,2234
44,2234
45,2234
46,2303
47,2303
48,2370
49,2370
50,2370
51,2370
52,2370
53,2490
54,2490
55,2524
56,2524
57,2524
58,2524
59,2584
60,2584
61,2584
62,2602
63,2636
64,2638
65,2638
66,2672
67,2672
68,2672
69,2672
70,2729
71,2729
72,2729
73,2729
74,2729
75,2729
76,2729
77,2729
78,2729
79,2729
80,2729
81,2729
82,2729
83,2729
84,2729
85,2729
86,2729
87,2729
88,2729
89,2729
90,2729
91,2729
92,2729
93,2729
94,2729
95,2729
96,2729
97,2729
98,2729
99,2729
100,2729
101,2729
102,2732
103,2732
104,2761
105,2761
106,2764
107,2764
108,2764
109,2820
110,2820
111,2820
112,2820
113,2820
114,2820
115,2888
116,2922
117,2990
118,2990
119,2990
120,2990
121,2990
122,3070
123,3070
124,3070
125,3070
126,3070
127,3070
128,3070
129,3070
130,3094
131,3094
132,3094
133,3094
134,3094
135,3094
136,3094
137,3094
138,3094
139,3143
140,3158
141,3187
142,3187
143,3187
144,3187
145,3187
146,3201
147,3201
148,3201
149,3201
150,3201
151,3201
152,3201
153,3201
154,3201
155,3201
156,3201
157,3201
158,3201
159,3201
160,3201
161,3201
162,3201
163,3201
164,3201
165,3201
166,3201
167,3211
168,3211
169,3211
170,3211
171,3211
172,3211
173,3240
174,3240
175,3240
176,3240
177,3240
178,3240
179,3240
180,3240
181,3240
182,3240
183,3240
184,3240
185,3240
186,3248
187,3248
188,3248
189,3248
190,3248
191,3248
192,3248
193,3248
194,3248
195,3248
196,3248
197,3248
198,3248
199,3277
200,3277
201,3277
202,3277
203,3277
204,3277
205,3277
206,3277
207,3277
208,3277
209,3282
210,3282
211,3282
212,3282
213,3289
214,3289
215,3289
216,3289
217,3289
218,3289
219,3289
220,3297
221,3297
222,3297
223,3297
224,3297
225,3297
226,3297
227,3297
228,3297
229,3297
230,3297
231,3297
232,3297
233,3297
234,3297
235,3297
236,3297
237,3297
238,3297
239,3297
240,3297
241,3297
242,3297
243,3297
244,3297
245,3297
246,3297
247,3297
248,3303
249,3303
250,3303
251,3303
252,3303
253,3303
254,3303
255,3303
256,3303
257,3303
258,3303
259,3303
260,3303
261,3303
262,3303
263,3303
264,3303
265,3303
266,3303
267,3303
268,3303
269,3303
270,3303
271,3303
272,3303
273,3303
274,3303
275,3303
276,3303
277,3303
278,3303
279,3303
280,3303
281,3303
282,3303
283,3303
284,3303
285,3303
286,3303
287,3303
288,3303
289,3303
290,3303
291,3303
292,3303
293,3303
294,3303
295,3303
296,3303
297,3303
298,3303
299,3314
300,3314
301,3314
302,3314
303,3314
304,3314
305,3314
306,3314
307,3314
308,3314
309,3314
310,3314
311,3314
312,3314
313,3314
314,3314
315,3314
316,3314
317,3314
318,3314
319,3314
320,3314
321,3314
322,3314
323,3314
324,3314
325,3314
326,3314
327,3314
328,3314
329,3314
330,3314
331,3314
332,3314
333,3314
334,3314
335,3314
336,3314
337,3314
338,3314
339,3314
340,3314
341,3314
342,3314
343,3314
344,3314
345,3314
346,3314
347,3314
348,3314
349,3314
350,3314
351,3314
352,3314
353,3314
354,3314
355,3314
356,3314
357,3314
358,3314
359,3314
360,3314
361,3314
362,3314
363,3314
364,3314
365,3314
366,3314
367,3314
368,3314
369,3314
370,3314
371,3314
372,3314
373,3314
374,3314
375,3314
376,3314
377,3314
378,3314
379,3314
380,3314
381,3314
382,3326
383,3326
384,3326
385,3326
386,3326
387,3326
388,3326
389,3326
390,3326
391,3326
392,3326
393,3326
394,3326
395,3326
396,3326
397,3326
398,3326
399,3326
400,3326
401,3326
402,3326
403,3326
404,3326
405,3326
406,3326
407,3329
408,3329
409,3329
410,3329
411,3329
412,3329
413,3329
414,3329
415,3329
416,3329
417,3329
418,3329
419,3329
420,3329
421,3329
422,3329
423,3329
424,3329
425,3329
426,3329
427,3329
428,3329
429,3329
430,3329
431,3329
432,3329
433,3329
434,3329
435,3329
436,3329
437,3329
438,3329
439,3329
440,3329
441,3329
442,3329
443,3329
444,3329
445,3329
446,3329
447,3329
448,3329
449,3332
450,3332
451,3332
452,3332
453,3332
454,3332
455,3332
456,3332
457,3332
458,3332
459,3332
460,3332
461,3332
462,3332
463,3332
464,3332
465,3332
466,3332
467,3332
468,3332
469,3332
470,3332
471,3332
472,3332
473,3332
474,3332
475,3332
476,3332
477,3332
478,3332
479,3332
480,3332
481,3332
482,3332
483,3332
484,3332
485,3332
486,3332
487,3332
488,3332
489,3332
490,3332
491,3332
492,3332
493,3334
494,3334
495,3334
496,3334
497,3334
498,3334
499,3334
500,3334
501,3334
502,3334
503,3334
504,3334
505,3334
506,3334
507,3338
508,3338
509,3338
510,3338
511,3338
512,3338
513,3338
514,3338
515,3338
516,3338
517,3338
518,3338
519,3338
520,3338
521,3338
522,3338
523,3347
524,3347
525,3347
526,3347
527,3347
528,3347
529,3347
530,3347
531,3347
532,3347
533,3347
534,3347
535,3347
536,3347
537,3347
538,3347
539,3347
540,3347
541,3347
542,3347
543,3347
544,3347
545,3347
546,3347
547,3350
548,3350
549,3350
550,3350
551,3358
552,3358
553,3358
554,3358
555,3358
556,3358
557,3358
558,3358
559,3358
560,3358
561,3358
562,3358
563,3358
564,3358
565,3358
566,3358
567,3358
568,3358
569,3358
570,3358
571,3358
572,3358
573,3358
574,3358
575,3358
576,3358
577,3358
578,3358
579,3358
580,3358
581,3358
582,3358
583,3358
584,3358
585,3358
586,3358
587,3363
588,3364
589,3364
590,3364
591,3364
592,3364
593,3364
594,3364
595,3364
596,3364
597,3364
598,3364
599,3364
600,3364
601,3364
602,3364
603,3364
604,3364
605,3364
606,3364
607,3364
608,3364
609,3364
610,3364
611,3364
612,3364
613,3364
614,3364
615,3364
616,3364
617,3364
618,3364
619,3364
620,3364
621,3364
622,3364
623,3364
624,3364
625,3364
626,3364
627,3364
628,3364
629,3364
630,3364
631,3364
632,3364
633,3364
634,3364
635,3364
636,3364
637,3369
638,3369
639,3369
640,3369
641,3369
642,3369
643,3369
644,3369
645,3369
646,3369
647,3369
648,3369
649,3369
650,3369
651,3369
652,3369
653,3369
654,3369
655,3369
656,3369
657,3369
658,3369
659,3369
660,3369
661,3369
662,3369
663,3369
664,3369
665,3369
666,3369
667,3369
668,3369
669,3369
670,3369
671,3369
672,3369
673,3369
674,3369
675,3369
676,3369
677,3369
678,3369
679,3369
680,3369
681,3369
682,3369
683,3369
684,3369
685,3369
686,3369
687,3369
688,3369
689,3369
690,3369
691,3369
692,3369
693,3369
694,3369
695,3369
696,3369
697,3369
698,3369
699,3369
700,3369
701,3369
702,3369
703,3369
704,3369
705,3369
706,3369
707,3369
708,3369
709,3369
710,3369
711,3369
712,3369
713,3369
714,3369
715,3369
716,3369
717,3369
718,3369
719,3369
720,3369
721,3369
722,3369
723,3369
724,3369
725,3369
726,3369
727,3369
728,3369
729,3369
730,3369
731,3369
732,3369
733,3369
734,3370
735,3370
736,3370
737,3370
738,3370
739,3370
740,3370
741,3370
742,3370
743,3370
744,3370
745,3370
746,3370
747,3370
748,3370
749,3370
750,3370
751,3370
752,3370
753,3370
754,3370
755,3370
756,3370
757,3370
758,3370
759,3370
760,3370
761,3370
762,3370
763,3370
764,3370
765,3370
766,3370
767,3370
768,3370
769,3370
770,3370
771,3370
772,3370
773,3370
774,3370
775,3370
776,3370
777,3370
778,3370
779,3370
780,3370
781,3370
782,3370
783,3370
784,3370
785,3370
786,3370
787,3370
788,3370
789,3370
790,3370
791,3370
792,3370
793,3370
794,3370
795,3370
796,3370
797,3370
798,3370
799,3370
800,3370
801,3370
802,3370
803,3370
804,3370
805,3373
806,3373
807,3373
808,3373
809,3373
810,3373
811,3373
812,3373
813,3373
814,3373
815,3373
816,3373
817,3373
818,3373
819,3373
820,3373
821,3373
822,3373
823,3373
824,3373
825,3373
826,3373
827,3373
828,3373
829,3373
830,3373
831,3373
832,3373
833,3373
834,3373
835,3373
836,3373
837,3373
838,3373
839,3373
840,3373
841,3373
842,3373
843,3373
844,3373
845,3373
846,3373
847,3373
848,3373
849,3373
850,3373
851,3373
852,3373
853,3373
854,3373
855,3373
856,3373
857,3373
858,3373
859,3373
860,3373
861,3373
862,3373
863,3373
864,3374
865,3374
866,3374
867,3374
868,3374
869,3374
870,3374
871,3374
872,3374
873,3374
874,3374
875,3374
876,3374
877,3374
878,3374
879,3374
880,3374
881,3374
882,3374
883,3374
884,3374
885,3374
886,3374
887,3374
888,3374
889,3374
890,3374
891,3374
892,3374
893,3374
894,3374
895,3374
896,3374
897,3374
898,3374
899,3374
900,3374
901,3374
902,3374
903,3374
904,3374
905,3374
906,3374
907,3374
908,3374
909,3374
910,3374
911,3374
912,3374
913,3374
914,3374
915,3374
916,3374
917,3374
918,3374
919,3374
920,3374
921,3374
922,3374
923,3374
924,3374
925,3374
926,3374
927,3374
928,3374
929,3374
930,3374
931,3374
932,3374
933,3374
934,3374
935,3374
936,3374
937,3374
938,3374
939,3374
940,3374
941,3374
942,3374
943,3374
944,3374
945,3374
946,3374
947,3374
948,3374
949,3374
950,3374
951,3374
952,3374
953,3374
954,3374
955,3374
956,3374
957,3374
958,3374
959,3374
960,3374
961,3374
962,3374
963,3374
964,3374
965,3374
966,3374
967,3374
968,3374
969,3374
970,3374
971,3374
972,3374
973,3374
974,3374
975,3374
976,3374
977,3374
978,3374
979,3374
980,3374
981,3374
982,3374
983,3374
984,3374
985,3374
986,3374
987,3374
988,3374
989,3374
990,3374
991,3374
992,3374
993,3374
994,3374
995,3374
996,3374
997,3374
998,3374
999,3374
1000,3374
1001,3374
1002,3374
1003,3374
1004,3374
1005,3374
1006,3374
1007,3374
1008,3374
1009,3374
1010,3374
1011,3374
1012,3374
1013,3374
1014,3374
1015,3374
1016,3374
1017,3374
1018,3374
1019,3374
1020,3374
1021,3374
1022,3374
1023,3374
1024,3374
1025,3374
1026,3374
1027,3374
1028,3374
1029,3374
1030,3374
1031,3374
1032,3374
1033,3374
1034,3374
1035,3374
1036,3374
1037,3374
1038,3374
1039,3374
1040,3374
1041,3374
1042,3374
1043,3374
1044,3374
1045,3374
1046,3374
1047,3374
1048,3374
1049,3374
