sample,lucro
0,441
1,1134
2,235
3,-869
4,-1951
5,391
6,260
7,109
8,-1507
9,211
10,-823
11,84
12,386
13,81
14,-646
15,-376
16,-751
17,-659
18,-930
19,447
20,276
21,-2428
22,-1356
23,-1154
24,-1764
25,292
26,1097
27,-1512
28,-1214
29,-1653
30,130
31,-1298
32,-1379
33,-549
34,-1111
35,-2561
36,-1234
37,-716
38,-1459
39,-1089
40,-789
41,611
42,-692
43,-321
44,412
45,-735
46,-567
47,-330
48,728
49,878
50,-2217
51,-1218
52,-68
53,366
54,39
55,-1867
56,-967
57,55
58,-348
59,-1131
60,-110
61,106
62,715
63,329
64,-1955
65,-39
66,-138
67,145
68,832
69,-467
70,-1592
71,-2167
72,-423
73,-587
74,-1196
75,944
76,900
77,-1090
78,299
79,-3177
80,581
81,-654
82,305
83,-1674
84,-1397
85,-506
86,-1253
87,-909
88,116
89,-194
90,-589
91,-1761
92,-1654
93,-1061
94,790
95,155
96,-1413
97,-809
98,-1974
99,-2308
100,108
101,-565
102,-533
103,-305
104,-1191
105,351
106,-1129
107,-1379
108,-909
109,-428
110,-295
111,-940
112,-683
113,-1176
114,-546
115,-1464
116,-297
117,-148
118,-723
119,-1228
120,-377
121,71
122,768
123,214
124,-535
125,49
126,542
127,-257
128,-1124
129,-1038
130,491
131,-319
132,-74
133,83
134,-254
135,-849
136,-1910
137,-142
138,96
139,-518
140,676
141,-1505
142,1086
143,-164
144,-617
145,-915
146,-433
147,-1284
148,-262
149,-485
150,-1080
151,-282
152,-896
153,-628
154,-400
155,-968
156,-356
157,-1522
158,-1381
159,-667
160,175
161,-1361
162,-795
163,-1862
164,197
165,-348
166,-803
167,-1224
168,-244
169,-373
170,-1211
171,513
172,-776
173,452
174,314
175,-602
176,-17
177,-1215
178,-58
179,710
180,-907
181,-749
182,148
183,-766
184,-249
185,383
186,307
187,261
188,-1189
189,-912
190,-2347
191,-869
192,-190
193,-858
194,-966
195,79
196,-55
197,-1541
198,-205
199,-792
200,-435
201,-1659
202,-778
203,-764
204,-1629
205,-1030
206,-686
207,-496
208,396
209,255
210,202
211,-1381
212,-204
213,-129
214,-574
215,-31
216,-1229
217,312
218,561
219,85
220,-485
221,-1101
222,752
223,-139
224,653
225,-872
226,-349
227,8
228,-1644
229,-1800
230,-819
231,-212
232,-61
233,-1804
234,290
235,-212
236,-822
237,-628
238,-920
239,-526
240,-273
241,200
242,163
243,-112
244,-1591
245,-129
246,-1417
247,-1247
248,-684
249,-1613
250,-891
251,33
252,10
253,-61
254,-1383
255,-1135
256,13
257,-177
258,-869
259,-969
260,-76
261,-1457
262,848
263,89
264,671
265,-661
266,-872
267,-602
268,-220
269,-843
270,-1836
271,222
272,-154
273,133
274,-427
275,171
276,-843
277,847
278,-483
279,519
280,-1149
281,-1380
282,-1565
283,-674
284,531
285,-449
286,496
287,-20
288,106
289,-585
290,-1659
291,-935
292,-83
293,-2199
294,-1323
295,-1213
296,-729
297,-269
298,-1389
299,-1661
300,-697
301,-37
302,326
303,-460
304,-274
305,-284
306,-863
307,-1269
308,207
309,-693
310,-1016
311,-764
312,-1950
313,193
314,-301
315,231
316,-869
317,-710
318,-938
319,-1029
320,861
321,-664
322,-1421
323,-1121
324,-922
325,-1317
326,-1126
327,-1912
328,-60
329,-376
330,-9
331,391
332,-2016
333,718
334,-1169
335,-2620
336,1092
337,-682
338,149
339,310
340,-1299
341,-135
342,-546
343,-725
344,273
345,-2006
346,76
347,626
348,-856
349,-1207
350,46
351,-534
352,588
353,-538
354,-756
355,-1885
356,-2276
357,1032
358,-1390
359,-1046
360,-1144
361,-312
362,-709
363,-1943
364,72
365,-368
366,-445
367,269
368,447
369,22
370,-784
371,-105
372,-972
373,480
374,-1784
375,-1459
376,-1382
377,687
378,-855
379,-308
380,48
381,-1510
382,-1489
383,-67
384,84
385,-195
386,218
387,-118
388,-1230
389,-210
390,-958
391,-736
392,509
393,352
394,876
395,-571
396,150
397,-537
398,-1810
399,-179
400,-553
401,-742
402,-139
403,258
404,-389
405,512
406,-8
407,-1022
408,44
409,-718
410,-642
411,264
412,56
413,-1061
414,619
415,-396
416,10
417,231
418,-387
419,-1877
420,-1317
421,180
422,-1350
423,-926
424,-430
425,155
426,-327
427,-1068
428,-517
429,-1903
430,-1034
431,-487
432,-173
433,-138
434,-323
435,-778
436,-1141
437,-805
438,-533
439,-239
440,320
441,202
442,-653
443,915
444,-1159
445,-1936
446,309
447,-813
448,213
449,-2719
450,92
451,-1614
452,319
453,-457
454,-1292
455,124
456,-108
457,-1214
458,-859
459,107
460,-543
461,1146
