sample,lucro
0,1124
1,2274
2,1203
3,346
4,-486
5,1538
6,1598
7,1238
8,-335
9,1478
10,308
11,1317
12,955
13,765
14,395
15,1400
16,457
17,1212
18,603
19,1652
20,2003
21,-911
22,-66
23,-106
24,-277
25,1285
26,2004
27,279
28,128
29,-299
30,957
31,-100
32,-282
33,431
34,-41
35,-617
36,-61
37,1322
38,-90
39,313
40,946
41,1792
42,508
43,1109
44,1763
45,867
46,273
47,1269
48,1241
49,1285
50,-977
51,367
52,901
53,1419
54,943
55,-819
56,310
57,1389
58,837
59,-96
60,1118
61,1311
62,2293
63,1544
64,-624
65,1063
66,773
67,1566
68,1868
69,491
70,-221
71,-832
72,656
73,1049
74,383
75,1957
76,1349
77,-4
78,1240
79,-1532
80,2370
81,1086
82,997
83,220
84,212
85,862
86,-64
87,895
88,1108
89,1076
90,600
91,-376
92,-511
93,41
94,1886
95,1260
96,5
97,346
98,-281
99,-914
100,1123
101,742
102,751
103,756
104,107
105,1401
106,699
107,439
108,624
109,779
110,795
111,43
112,301
113,254
114,1173
115,-406
116,862
117,820
118,248
119,495
120,788
121,953
122,1686
123,1113
124,439
125,868
126,1611
127,580
128,-211
129,791
130,1634
131,838
132,1251
133,1024
134,491
135,792
136,-546
137,818
138,484
139,837
140,1622
141,23
142,2040
143,1027
144,545
145,117
146,313
147,547
148,1166
149,708
150,95
151,1035
152,511
153,851
154,1441
155,547
156,772
157,285
158,-301
159,137
160,1340
161,-119
162,159
163,-390
164,1475
165,611
166,1016
167,-402
168,1250
169,917
170,-63
171,1366
172,561
173,1435
174,1442
175,642
176,496
177,-238
178,873
179,1620
180,562
181,297
182,991
183,463
184,1041
185,1504
186,1468
187,1593
188,306
189,300
190,-831
191,428
192,1109
193,278
194,228
195,1409
196,1390
197,267
198,1498
199,1363
200,757
201,-448
202,561
203,437
204,-25
205,466
206,1179
207,846
208,1348
209,831
210,1283
211,218
212,1045
213,791
214,499
215,1162
216,279
217,1255
218,2034
219,1435
220,594
221,189
222,1521
223,527
224,1793
225,317
226,953
227,792
228,-28
229,-249
230,277
231,1122
232,847
