sample,best_lucro
0,1124
1,2274
2,2274
3,2274
4,2274
5,2274
6,2274
7,2274
8,2274
9,2274
10,2274
11,2274
12,2274
13,2274
14,2274
15,2274
16,2274
17,2274
18,2274
19,2274
20,2274
21,2274
22,2274
23,2274
24,2274
25,2274
26,2274
27,2274
28,2274
29,2274
30,2274
31,2274
32,2274
33,2274
34,2274
35,2274
36,2274
37,2274
38,2274
39,2274
40,2274
41,2274
42,2274
43,2274
44,2274
45,2274
46,2274
47,2274
48,2274
49,2274
50,2274
51,2274
52,2274
53,2274
54,2274
55,2274
56,2274
57,2274
58,2274
59,2274
60,2274
61,2274
62,2293
63,2293
64,2293
65,2293
66,2293
67,2293
68,2293
69,2293
70,2293
71,2293
72,2293
73,2293
74,2293
75,2293
76,2293
77,2293
78,2293
79,2293
80,2370
81,2370
82,2370
83,2370
84,2370
85,2370
86,2370
87,2370
88,2370
89,2370
90,2370
91,2370
92,2370
93,2370
94,2370
95,2370
96,2370
97,2370
98,2370
99,2370
100,2370
101,2370
102,2370
103,2370
104,2370
105,2370
106,2370
107,2370
108,2370
109,2370
110,2370
111,2370
112,2370
113,2370
114,2370
115,2370
116,2370
117,2370
118,2370
119,2370
120,2370
121,2370
122,2370
123,2370
124,2370
125,2370
126,2370
127,2370
128,2370
129,2370
130,2370
131,2370
132,2370
133,2370
134,2370
135,2370
136,2370
137,2370
138,2370
139,2370
140,2370
141,2370
142,2370
143,2370
144,2370
145,2370
146,2370
147,2370
148,2370
149,2370
150,2370
151,2370
152,2370
153,2370
154,2370
155,2370
156,2370
157,2370
158,2370
159,2370
160,2370
161,2370
162,2370
163,2370
164,2370
165,2370
166,2370
167,2370
168,2370
169,2370
170,2370
171,2370
172,2370
173,2370
174,2370
175,2370
176,2370
177,2370
178,2370
179,2370
180,2370
181,2370
182,2370
183,2370
184,2370
185,2370
186,2370
187,2370
188,2370
189,2370
190,2370
191,2370
192,2370
193,2370
194,2370
195,2370
196,2370
197,2370
198,2370
199,2370
200,2370
201,2370
202,2370
203,2370
204,2370
205,2370
206,2370
207,2370
208,2370
209,2370
