sample,lucro
0,1838
1,2500
2,2063
3,3188
4,3098
5,2307
6,2799
7,2822
8,2951
9,2126
10,2931
11,2776
12,1605
13,2232
14,2422
15,3298
16,3146
17,3476
18,3271
19,2892
20,2446
21,3363
22,3330
23,2763
24,3185
25,1970
26,1931
27,3767
28,3378
29,3467
30,2470
31,3077
32,2809
33,2539
34,2968
35,3944
36,3353
37,3288
38,3938
39,3134
40,3179
41,2948
42,3089
43,3215
44,2782
45,3105
46,2347
47,3373
48,1710
49,1783
50,3115
51,3541
52,2423
53,2560
54,2102
55,2560
56,3056
57,2909
58,2589
59,1920
60,2477
61,3175
62,2622
63,2415
64,2952
65,3196
66,2576
67,3008
68,2712
69,2467
70,3338
71,3512
72,2703
73,3147
74,3338
75,2198
76,1472
77,2913
78,2710
79,4487
80,2914
81,2905
82,2225
83,3745
84,3860
85,3369
86,1904
87,3573
88,2432
89,2594
90,2736
91,3125
92,3098
93,3088
94,2144
95,2964
96,3397
97,2766
98,3659
99,2519
100,2199
101,2959
102,2595
103,2044
104,3579
105,3059
106,3675
107,3877
108,3445
109,3157
110,3318
111,3367
112,3341
113,3175
114,3502
115,2658
116,2902
117,2489
118,2800
119,3518
120,2429
121,2789
122,1854
123,2363
124,2090
125,2199
126,2392
127,1929
128,2922
129,3745
130,2319
131,2222
132,2767
133,2300
134,2298
135,3628
136,2884
137,2759
138,1656
139,2758
140,1945
141,3150
142,2421
143,3067
144,3179
145,2673
146,1937
147,3261
148,3544
149,2824
150,2514
151,2231
152,3870
153,2915
154,3351
155,3050
156,2424
157,3253
158,2743
159,1803
160,2640
161,2496
162,2682
163,3180
164,2642
165,2597
166,2628
167,2649
168,3321
169,3034
170,2592
171,1838
172,2677
173,2134
174,2312
175,3301
176,1845
177,2285
178,2209
179,2572
180,2961
181,3056
182,2091
183,3314
184,3307
185,3147
186,2206
187,2892
188,2595
189,2976
190,3456
191,2387
192,2515
193,2267
194,3084
195,3039
196,2716
197,3303
198,3188
199,3458
200,3294
201,3047
202,2986
203,2918
204,3625
205,3634
206,3444
207,2533
208,2388
209,2059
210,2616
211,2980
212,3390
213,1583
214,2252
215,3050
216,3759
217,2196
218,2763
219,2793
220,2987
221,3394
222,1773
223,1845
224,2607
225,3017
226,2934
227,1812
228,2999
229,3186
230,2958
231,3338
232,2256
233,2456
234,2521
235,2676
236,2483
237,2761
238,2740
239,3289
240,1866
241,1578
242,2660
243,2447
244,3387
245,2901
246,3402
247,3173
248,2378
249,2450
250,2811
251,3242
252,2511
253,3170
254,3205
255,2630
256,1309
257,2873
258,3219
259,2888
260,2944
261,3691
262,2684
263,2159
264,2348
265,3152
266,3107
267,2504
268,2843
269,2495
270,3003
271,2047
272,2530
273,2696
274,3243
275,1677
276,2942
277,2066
278,2666
279,3012
280,3038
281,3722
282,2968
283,2680
284,2294
285,2758
286,2076
287,1969
288,2369
289,3102
290,3647
291,3327
292,1794
293,2905
294,3162
295,3125
296,3282
297,2652
298,2754
299,3608
300,2307
301,2327
302,2441
303,2530
304,3035
305,2445
306,3698
307,2601
308,2693
309,2974
310,2739
311,3580
312,3812
313,2673
314,2421
315,2889
316,3521
317,2978
318,3349
319,2245
320,1533
321,3558
322,3104
323,3348
324,2219
325,1557
326,2265
327,3787
328,2345
329,2549
330,2782
331,2528
332,3299
333,2234
334,3234
335,3412
336,1270
337,2858
338,2837
339,2652
340,3345
341,3351
342,1893
343,3480
344,2240
345,2963
346,2579
347,2020
348,2812
349,2559
350,2901
351,2630
352,2248
353,2829
354,3404
355,3375
356,3241
357,1858
358,3920
359,3075
360,3343
361,2730
362,3060
363,3372
364,2632
365,3269
366,2538
367,1802
368,2350
369,2910
370,3137
371,2856
372,2229
373,3108
374,2899
375,3984
376,3504
377,2126
378,2755
379,3046
380,1966
381,3174
382,3225
383,2525
384,1859
385,2273
386,2990
387,2360
388,3318
389,2472
390,3335
391,2672
392,1950
393,3023
394,2656
395,3094
396,3022
397,2454
398,3212
399,2649
400,2486
401,2800
402,3200
403,2567
404,2788
405,2552
406,2731
407,3027
408,1980
409,2822
410,2498
411,2704
412,2687
413,3298
414,2521
415,1038
416,2506
417,2498
418,2575
419,4111
420,3695
421,1763
422,2805
423,2589
424,2671
425,2362
426,2199
427,2864
428,3627
429,2821
430,3101
431,2709
432,3192
433,2946
434,2759
435,2750
436,2709
437,2676
438,3766
439,2650
440,2529
441,2092
442,2467
443,1337
444,3113
445,3606
446,1921
447,3875
448,2734
449,3549
450,1751
451,3927
452,2754
453,2031
454,3288
455,2742
456,2555
457,2395
458,3334
459,2077
460,3333
461,2101
462,2791
463,4138
464,2585
465,2235
466,2191
467,2726
468,3289
469,3560
470,3171
471,2724
472,2689
473,2816
474,2784
475,2107
476,2168
477,1611
478,3344
479,2629
480,2494
481,3001
482,2385
483,3539
484,2225
485,2870
486,3457
487,2236
488,3280
489,3103
490,2293
491,2862
492,3071
493,2029
494,3321
495,2824
496,2806
497,3328
498,3228
499,1783
500,2201
501,1496
502,2982
503,3603
504,3124
505,2325
506,3466
507,2435
508,3316
509,2568
510,3420
511,3437
512,1505
513,1116
514,2129
515,2665
516,2758
517,3987
518,2561
519,3025
520,2466
521,2599
522,2857
523,2980
524,3455
525,3799
526,2952
527,2455
528,3004
529,2687
530,3286
531,2949
532,2328
533,3932
534,3104
535,2457
536,2185
537,2137
538,3422
539,2114
540,3696
541,2013
542,2765
543,2415
544,3948
545,2921
546,2686
547,2941
548,3461
549,3219
550,3289
551,2992
552,2444
553,3393
554,2140
555,3227
556,3497
557,1990
558,2684
559,2486
560,2312
561,2501
562,2672
563,3457
564,2338
565,2944
566,2253
567,1986
568,2834
569,3168
570,2908
571,1874
572,3263
573,3883
574,3065
575,2766
576,3636
577,3435
578,2760
579,2004
580,3146
581,1050
582,2986
583,2413
584,3337
585,2518
586,1170
587,3599
588,2745
589,3014
590,2397
591,2594
592,1801
593,3475
594,3928
595,3549
596,2803
597,2032
598,2872
599,2555
600,2473
601,2976
602,2582
603,2085
604,1491
605,2775
606,3077
607,2425
608,3830
609,3666
610,2962
611,3039
612,3698
613,2979
614,3162
615,3036
616,2254
617,3863
618,2228
619,2893
620,3661
621,3217
622,1739
623,2368
624,2732
625,3242
626,3707
627,2354
628,3314
629,2496
630,3137
631,2831
632,3119
633,2402
634,2611
635,2696
636,2665
637,2507
638,3066
639,3909
640,3641
641,4000
642,4238
643,2019
644,2644
645,3406
646,3577
647,2980
648,3750
649,2137
650,2242
651,2027
652,3048
653,2739
654,2826
655,2563
656,3043
657,2828
658,3687
659,2852
660,2856
661,2908
662,1821
663,2180
664,3023
665,2440
666,2953
667,3089
668,3643
669,3238
670,3033
671,2536
672,1798
673,2493
674,3835
675,1963
676,2275
677,2671
678,2338
679,2466
680,3404
681,1206
682,2522
683,2546
684,3581
685,2186
686,2872
687,2244
688,2812
