sample,best_lucro
0,1838
1,2500
2,2500
3,3188
4,3188
5,3188
6,3188
7,3188
8,3188
9,3188
10,3188
11,3188
12,3188
13,3188
14,3188
15,3298
16,3298
17,3476
18,3476
19,3476
20,3476
21,3476
22,3476
23,3476
24,3476
25,3476
26,3476
27,3767
28,3767
29,3767
30,3767
31,3767
32,3767
33,3767
34,3767
35,3944
36,3944
37,3944
38,3944
39,3944
40,3944
41,3944
42,3944
43,3944
44,3944
45,3944
46,3944
47,3944
48,3944
49,3944
50,3944
51,3944
52,3944
53,3944
54,3944
55,3944
56,3944
57,3944
58,3944
59,3944
60,3944
61,3944
62,3944
63,3944
64,3944
65,3944
66,3944
67,3944
68,3944
69,3944
70,3944
71,3944
72,3944
73,3944
74,3944
75,3944
76,3944
77,3944
78,3944
79,4487
80,4487
81,4487
82,4487
83,4487
84,4487
85,4487
86,4487
87,4487
88,4487
89,4487
90,4487
91,4487
92,4487
93,4487
94,4487
95,4487
96,4487
97,4487
98,4487
99,4487
100,4487
101,4487
102,4487
103,4487
104,4487
105,4487
106,4487
107,4487
108,4487
109,4487
110,4487
111,4487
112,4487
113,4487
114,4487
115,4487
116,4487
117,4487
118,4487
119,4487
120,4487
121,4487
122,4487
123,4487
124,4487
125,4487
126,4487
127,4487
128,4487
129,4487
130,4487
131,4487
132,4487
133,4487
134,4487
135,4487
136,4487
137,4487
138,4487
139,4487
140,4487
141,4487
142,4487
143,4487
144,4487
145,4487
146,4487
147,4487
148,4487
149,4487
150,4487
151,4487
152,4487
153,4487
154,4487
155,4487
156,4487
157,4487
158,4487
159,4487
160,4487
161,4487
162,4487
163,4487
164,4487
165,4487
166,4487
167,4487
168,4487
169,4487
170,4487
171,4487
172,4487
173,4487
174,4487
175,4487
176,4487
177,4487
178,4487
179,4487
180,4487
181,4487
182,4487
183,4487
184,4487
185,4487
186,4487
187,4487
188,4487
189,4487
190,4487
191,4487
192,4487
193,4487
194,4487
195,4487
196,4487
197,4487
198,4487
199,4487
200,4487
201,4487
202,4487
203,4487
204,4487
205,4487
206,4487
207,4487
208,4487
209,4487
210,4487
211,4487
212,4487
213,4487
214,4487
215,4487
216,4487
217,4487
218,4487
219,4487
220,4487
221,4487
222,4487
223,4487
224,4487
225,4487
226,4487
227,4487
228,4487
229,4487
230,4487
231,4487
232,4487
233,4487
234,4487
235,4487
236,4487
237,4487
238,4487
239,4487
240,4487
241,4487
242,4487
243,4487
244,4487
245,4487
246,4487
247,4487
248,4487
249,4487
250,4487
251,4487
252,4487
253,4487
254,4487
255,4487
256,4487
257,4487
258,4487
259,4487
260,4487
261,4487
262,4487
263,4487
264,4487
265,4487
266,4487
267,4487
268,4487
269,4487
270,4487
271,4487
272,4487
273,4487
274,4487
275,4487
276,4487
277,4487
278,4487
279,4487
280,4487
281,4487
282,4487
283,4487
284,4487
285,4487
286,4487
287,4487
288,4487
289,4487
290,4487
291,4487
292,4487
293,4487
294,4487
295,4487
296,4487
297,4487
298,4487
299,4487
300,4487
301,4487
302,4487
303,4487
304,4487
305,4487
306,4487
307,4487
308,4487
309,4487
310,4487
311,4487
312,4487
313,4487
314,4487
315,4487
316,4487
317,4487
318,4487
319,4487
320,4487
321,4487
322,4487
323,4487
324,4487
325,4487
326,4487
327,4487
328,4487
329,4487
330,4487
331,4487
332,4487
333,4487
334,4487
335,4487
336,4487
337,4487
338,4487
339,4487
340,4487
341,4487
342,4487
343,4487
344,4487
345,4487
346,4487
347,4487
348,4487
349,4487
350,4487
351,4487
352,4487
353,4487
354,4487
355,4487
356,4487
357,4487
358,4487
359,4487
360,4487
361,4487
362,4487
363,4487
364,4487
365,4487
366,4487
367,4487
368,4487
369,4487
370,4487
371,4487
372,4487
373,4487
374,4487
375,4487
376,4487
377,4487
378,4487
379,4487
380,4487
381,4487
382,4487
383,4487
384,4487
385,4487
386,4487
387,4487
388,4487
389,4487
390,4487
391,4487
392,4487
393,4487
394,4487
395,4487
396,4487
397,4487
398,4487
399,4487
400,4487
401,4487
402,4487
403,4487
404,4487
405,4487
406,4487
407,4487
408,4487
409,4487
410,4487
411,4487
412,4487
413,4487
414,4487
415,4487
416,4487
417,4487
418,4487
419,4487
420,4487
421,4487
422,4487
423,4487
424,4487
425,4487
426,4487
427,4487
428,4487
429,4487
430,4487
431,4487
432,4487
433,4487
434,4487
435,4487
436,4487
437,4487
438,4487
439,4487
440,4487
441,4487
442,4487
443,4487
444,4487
445,4487
446,4487
447,4487
448,4487
449,4487
450,4487
451,4487
452,4487
453,4487
454,4487
455,4487
456,4487
457,4487
458,4487
459,4487
460,4487
461,4487
462,4487
463,4487
464,4487
465,4487
466,4487
467,4487
468,4487
469,4487
470,4487
471,4487
472,4487
473,4487
474,4487
475,4487
476,4487
477,4487
478,4487
479,4487
480,4487
481,4487
482,4487
483,4487
484,4487
485,4487
486,4487
487,4487
488,4487
489,4487
490,4487
491,4487
492,4487
493,4487
494,4487
495,4487
496,4487
497,4487
498,4487
499,4487
500,4487
501,4487
502,4487
503,4487
504,4487
505,4487
506,4487
507,4487
508,4487
509,4487
510,4487
511,4487
512,4487
513,4487
514,4487
515,4487
516,4487
517,4487
518,4487
519,4487
520,4487
521,4487
522,4487
523,4487
524,4487
525,4487
526,4487
527,4487
528,4487
529,4487
530,4487
531,4487
532,4487
533,4487
534,4487
535,4487
536,4487
537,4487
538,4487
539,4487
540,4487
541,4487
542,4487
543,4487
544,4487
545,4487
546,4487
547,4487
548,4487
549,4487
550,4487
551,4487
552,4487
553,4487
554,4487
555,4487
556,4487
557,4487
558,4487
559,4487
560,4487
561,4487
562,4487
563,4487
564,4487
565,4487
566,4487
567,4487
568,4487
569,4487
570,4487
571,4487
572,4487
573,4487
574,4487
575,4487
576,4487
577,4487
578,4487
579,4487
580,4487
581,4487
582,4487
583,4487
584,4487
585,4487
586,4487
587,4487
588,4487
589,4487
590,4487
591,4487
592,4487
593,4487
594,4487
595,4487
596,4487
597,4487
598,4487
599,4487
600,4487
601,4487
602,4487
603,4487
604,4487
605,4487
606,4487
607,4487
608,4487
609,4487
610,4487
611,4487
612,4487
613,4487
614,4487
615,4487
616,4487
617,4487
618,4487
619,4487
620,4487
621,4487
622,4487
623,4487
624,4487
625,4487
626,4487
627,4487
628,4487
629,4487
630,4487
631,4487
632,4487
633,4487
634,4487
635,4487
636,4487
637,4487
638,4487
639,4487
640,4487
641,4487
642,4487
643,4487
644,4487
645,4487
646,4487
647,4487
648,4487
649,4487
650,4487
651,4487
652,4487
653,4487
654,4487
655,4487
656,4487
657,4487
658,4487
659,4487
660,4487
661,4487
662,4487
663,4487
664,4487
665,4487
666,4487
667,4487
668,4487
669,4487
670,4487
671,4487
672,4487
673,4487
674,4487
675,4487
676,4487
677,4487
678,4487
679,4487
680,4487
681,4487
682,4487
683,4487
684,4487
685,4487
686,4487
687,4487
688,4487
