sample,lucro
0,-79
1,-1334
2,-828
3,-2846
4,-3665
5,-1480
6,-1805
7,-1380
8,-2742
9,-1430
10,-2445
11,-1841
12,-182
13,-409
14,-1630
15,-3021
16,-2300
17,-3313
18,-2768
19,-1661
20,-1945
21,-4720
22,-3204
23,-2991
24,-3645
25,-1233
26,-899
27,-3997
28,-3569
29,-3243
30,-1236
31,-2947
32,-2510
33,-1791
34,-2196
35,-5217
36,-2754
37,-3245
38,-3577
39,-3163
40,-2963
41,-1864
42,-2033
43,-2947
44,-1792
45,-3056
46,-1830
47,-2713
48,-881
49,164
50,-3822
51,-3327
52,-1607
53,-1549
54,-1134
55,-3260
56,-2354
57,-2544
58,-1886
59,-2543
60,-1692
61,-2019
62,-1807
63,-1217
64,-3846
65,-1628
66,-2063
67,-1790
68,-1027
69,-2141
70,-3626
71,-4121
72,-1833
73,-2806
74,-3259
75,-1041
76,-20
77,-3267
78,-1465
79,-5526
80,-1880
81,-2738
82,-340
83,-4280
84,-3444
85,-2326
86,-2635
87,-3463
88,-1295
89,-1779
90,-2483
91,-3542
92,-3332
93,-2954
94,-1005
95,-1921
96,-3398
97,-2379
98,-4581
99,-4041
100,-2093
101,-2585
102,-2040
103,-1356
104,-2779
105,-1456
106,-3580
107,-4058
108,-3029
109,-2674
110,-2287
111,-2693
112,-2637
113,-2821
114,-2825
115,-3192
116,-2010
117,-1545
118,-2766
119,-3647
120,-1555
121,-1715
122,-489
123,-1447
124,-1715
125,-942
126,-779
127,-1563
128,-2197
129,-3456
130,-1178
131,-1864
132,-1729
133,-1077
134,-1330
135,-3508
136,-3583
137,-1534
138,-391
139,-2431
140,-616
141,-3498
142,-802
143,-2066
144,-2254
145,-2228
146,-1387
147,-3596
148,-2914
149,-2153
150,-2726
151,-1906
152,-2897
153,-2400
154,-2859
155,-3021
156,-1732
157,-3707
158,-2573
159,-1766
160,-999
161,-3235
162,-1800
163,-3436
164,-1559
165,-1908
166,-3226
167,-2447
168,-1771
169,-2539
170,-2885
171,-805
172,-2595
173,-883
174,-1593
175,-2857
176,-742
177,-2194
178,-1596
179,-895
180,-2768
181,-2248
182,-981
183,-2692
184,-2713
185,-1843
186,-1283
187,-1866
188,-3024
189,-2461
190,-4056
191,-2652
192,-1928
193,-2102
194,-2860
195,-2224
196,-2027
197,-3763
198,-2306
199,-3326
200,-1634
201,-3385
202,-2506
203,-1994
204,-3790
205,-2755
206,-2898
207,-2116
208,-959
209,-1003
210,-1357
211,-3929
212,-2627
213,-1288
214,-1686
215,-1989
216,-3832
217,-1135
218,-1910
219,-2110
220,-2063
221,-2752
222,-210
223,-834
224,-1427
225,-2041
226,-2092
227,-888
228,-3690
229,-3647
230,-2409
231,-2468
232,-1416
233,-3217
234,-1555
235,-1784
236,-3005
237,-2394
238,-2168
239,-2695
240,-899
241,-1020
242,-1877
243,-1725
244,-3378
245,-2295
246,-3582
247,-3152
248,-1599
249,-3174
250,-3488
251,-2356
252,-1642
253,-2463
254,-3706
255,-2640
256,-468
257,-1974
258,-3123
259,-3036
260,-1799
261,-3436
262,-1507
263,-1603
264,-1030
265,-2670
266,-2974
267,-1793
268,-2329
269,-2129
270,-3123
271,-1189
272,-1494
273,-1360
274,-2257
275,-653
276,-2933
277,-218
278,-2251
279,-1818
280,-2403
281,-3782
282,-2722
283,-2020
284,-1014
285,-2180
286,-1058
287,-1051
288,-1699
289,-2527
290,-3865
291,-3292
292,-1044
293,-4313
294,-3517
295,-2737
296,-2460
297,-1922
298,-3034
299,-3741
300,-1963
301,-1422
302,-1128
303,-2798
304,-1951
305,-1874
306,-2935
307,-2581
308,-2256
309,-2804
310,-2650
311,-3791
312,-3852
313,-1126
314,-1948
315,-1899
316,-3650
317,-2817
318,-3294
319,-2623
320,-144
321,-3450
322,-3507
323,-2867
324,-2222
325,-2617
326,-2251
327,-4477
328,-2078
329,-1747
330,-1770
331,-1246
332,-4253
333,-1018
334,-3388
335,-4776
336,224
337,-2297
338,-2079
339,-1581
340,-3234
341,-2410
342,-1842
343,-2822
344,-951
345,-3316
346,-1804
347,-595
348,-2389
349,-2408
350,-2332
351,-1215
352,-266
353,-2297
354,-3534
355,-4601
356,-4019
357,215
358,-3576
359,-3204
360,-2849
361,-2034
362,-2865
363,-4152
364,-1555
365,-1707
366,-2095
367,-640
368,-1021
369,-2174
370,-2730
371,-1194
372,-2288
373,-1552
374,-3966
375,-3612
376,-3936
377,-844
378,-2530
379,-2303
380,-667
381,-3481
382,-3476
383,-1712
384,-1159
385,-1336
386,-1975
387,-1767
388,-3066
389,-1513
390,-3076
391,-1914
392,-581
393,-1550
394,-1472
395,-2417
396,-1918
397,-1662
398,-3490
399,-1344
400,-2489
401,-2709
402,-2410
403,-1720
404,-2343
405,-959
406,-1645
407,-2693
408,-953
409,-2612
410,-1615
411,-1372
412,-1291
413,-3094
414,-1393
415,-1010
416,-1505
417,-1784
418,-2210
419,-4670
420,-3550
421,-607
422,-2347
423,-2050
424,-1636
425,-1255
426,-1136
427,-2699
428,-2922
429,-3584
430,-2462
431,-2239
432,-1776
433,-2159
434,-2001
435,-2256
436,-2690
437,-2461
438,-3192
439,-2049
440,-1414
441,-710
442,-2049
443,286
444,-3116
445,-4010
446,-574
447,-3554
448,-1718
449,-4987
450,-609
451,-4355
452,-1594
453,-1219
454,-3732
455,-1390
456,-1659
457,-2860
458,-3044
459,-1431
460,-2812
461,-1167
462,-1957
463,-4117
464,-2358
465,-1127
466,-31
467,-1440
468,-3568
469,-3122
470,-2746
471,-2161
472,-2345
473,-2122
474,-2169
475,-650
476,-1536
477,-1355
478,-2374
479,-2636
480,-2434
481,-2819
482,-1963
483,-2818
484,-868
485,-2109
486,-3377
487,-2709
488,-2387
489,-2994
490,-1165
491,-3976
492,-2308
493,-746
494,-3603
495,-2271
496,-2215
497,-3738
498,-4387
499,-577
500,-1918
501,50
502,-1850
503,-3792
504,-2269
505,-1886
506,-3711
507,-1044
508,-2621
509,-1489
510,-3440
511,-4404
512,-61
513,-865
514,-1574
515,-1188
516,-1565
517,-3271
518,-1132
519,-3422
520,-1254
521,-1855
522,-2973
523,-2108
524,-2765
525,-4602
526,-2901
527,-1234
528,-2030
529,-2161
530,-2244
531,-2880
532,-1458
533,-4472
534,-2728
535,-2153
536,-3286
537,-1526
538,-3034
539,-1926
540,-3700
541,-801
542,-1060
543,-1546
544,-4487
545,-2870
546,-3429
547,-2860
548,-3324
549,-2850
550,-3235
551,-2109
552,-1757
553,-2621
554,-1083
555,-2937
556,-2567
557,-425
558,-1297
559,-1826
560,-1725
561,-1978
562,-2516
563,-3362
564,-1191
565,-2365
566,-451
567,-838
568,-3010
569,-3656
570,-3315
571,-1489
572,-2892
573,-4411
574,-1882
575,-1637
576,-4165
577,-3541
578,-1209
579,-773
580,-2884
581,387
582,-2313
583,-1981
584,-3058
585,-1730
586,145
587,-3714
588,-1509
589,-2799
590,-2323
591,-1768
592,-749
593,-4592
594,-4398
595,-4705
596,-1908
597,-1373
598,-1711
599,-2636
600,-1781
601,-2258
602,-2215
603,-969
604,-1190
605,-1887
606,-1781
607,-1978
608,-5431
609,-3113
610,-2543
611,-2818
612,-3963
613,-1758
614,-2660
615,-1635
616,-2014
617,-3785
618,-860
619,-1816
620,-2842
621,-2225
622,-1372
623,-1633
624,-2085
625,-2428
626,-4162
627,-2131
628,-3557
629,-956
630,-2467
631,-2584
632,-2445
633,-914
634,-1371
635,-1048
636,-2142
637,-1207
638,-2510
639,-4736
640,-3202
641,-4781
642,-4591
643,-1105
644,-2143
645,-3885
646,-4653
647,-2110
648,-3337
649,-979
650,-576
651,-1065
652,-3985
653,-1618
654,-3222
655,-2169
656,-3786
657,-1779
658,-3659
659,-2304
660,-1682
661,-2897
662,-1280
663,-1542
664,-2465
665,-1585
666,-3147
667,-3342
668,-2827
669,-3450
670,-2200
671,-1695
672,-1357
673,-1326
674,-4125
675,-623
676,-1044
677,-1602
678,-1416
679,-1261
680,-2370
681,-224
682,-1537
683,-1895
684,-3673
685,-1911
686,-2289
687,-1371
688,-1090
689,-1539
690,-799
691,-1340
692,-2156
693,-59
694,-2236
695,-2054
696,-1725
697,-1292
698,-1490
699,-1734
700,-1645
701,-1583
702,-866
703,-2099
704,-2392
705,-2736
706,-1967
707,-1103
708,-655
709,-2276
710,-2374
711,-2695
712,-1308
713,-2101
714,-2043
715,-2306
716,-2623
717,-504
718,-3345
719,-1119
720,-1273
721,-2559
722,-1484
723,-2772
724,-3187
725,-1388
726,-891
727,-2553
728,-5241
729,-1547
730,-2254
731,-2066
732,-2739
733,-1179
734,-2888
735,-1350
736,-4344
737,-3088
738,-1583
739,-2875
740,-549
741,-2552
742,-1482
743,-441
744,-3625
745,-2552
746,-2608
747,-804
748,-836
749,-830
750,-2116
751,-1140
752,-2992
753,-1647
754,-1138
755,-2547
756,-1751
757,-1423
758,-2706
759,-2875
760,-1340
761,-2422
762,-3558
763,-399
764,-1175
765,-2366
766,-2725
767,-2383
768,-1579
769,-1438
770,-190
771,-1269
772,-2984
773,-3507
774,-1813
775,-959
776,-4146
777,-2559
778,-2416
779,-1566
780,-2801
781,-2781
782,-1892
783,-2696
784,-1473
785,-2900
786,-2794
787,-1572
788,-485
