iteration,lucro
0,-463
1,-463
2,-459
3,-459
4,-459
5,-459
6,-383
7,-383
8,-383
9,-383
10,-383
11,-383
12,-383
13,-373
14,-225
15,-105
16,-29
17,-29
18,91
19,91
20,91
21,151
22,151
23,151
24,151
25,151
26,151
27,199
28,219
29,219
30,279
31,279
32,279
33,399
34,399
35,399
36,399
37,479
38,517
39,517
40,517
41,517
42,597
43,597
44,597
45,597
46,675
47,675
48,675
49,675
50,675
51,675
52,795
53,915
54,915
55,915
56,915
57,916
58,976
59,1036
60,1110
61,1110
62,1117
63,1117
64,1117
65,1124
66,1124
67,1124
68,1124
69,1124
70,1124
71,1124
72,1124
73,1184
74,1184
75,1184
76,1184
77,1184
78,1184
79,1184
80,1184
81,1184
82,1184
83,1184
84,1184
85,1184
86,1184
87,1184
88,1184
89,1184
90,1184
91,1184
92,1184
93,1184
94,1184
95,1184
96,1184
97,1184
98,1184
99,1184
100,1184
101,1184
102,1184
103,1184
104,1184
105,1184
106,1185
107,1185
108,1187
109,1187
110,1187
111,1199
112,1199
113,1199
114,1199
115,1199
116,1199
117,1199
118,1199
119,1199
120,1199
121,1199
122,1279
123,1279
124,1279
125,1279
126,1279
127,1279
128,1279
129,1279
130,1279
131,1279
132,1279
133,1279
134,1279
135,1279
136,1279
137,1279
138,1279
139,1279
140,1279
141,1279
142,1279
143,1279
144,1279
145,1279
146,1279
147,1279
148,1279
149,1279
150,1279
151,1279
152,1279
153,1282
154,1282
155,1282
156,1282
157,1282
158,1282
159,1282
160,1282
161,1282
162,1282
163,1282
164,1282
165,1282
166,1282
167,1282
168,1282
169,1282
170,1282
171,1282
172,1282
173,1282
174,1282
175,1282
176,1282
177,1282
178,1282
179,1282
180,1282
181,1282
182,1282
183,1282
184,1282
185,1282
186,1286
187,1296
188,1296
189,1296
190,1296
191,1296
192,1296
193,1296
194,1296
195,1296
196,1296
197,1296
198,1296
199,1296
200,1296
201,1296
202,1296
203,1296
204,1296
205,1296
206,1296
207,1296
208,1296
209,1299
210,1299
211,1299
212,1299
213,1304
214,1304
215,1304
216,1304
217,1304
218,1304
219,1304
220,1304
221,1304
222,1304
223,1304
224,1304
225,1304
226,1304
227,1304
228,1304
229,1304
230,1304
231,1304
232,1304
233,1425
234,1425
235,1429
236,1429
237,1429
238,1429
239,1429
240,1429
241,1429
242,1429
243,1429
244,1429
245,1429
246,1429
247,1429
248,1429
249,1429
250,1429
251,1429
252,1429
253,1429
254,1429
255,1429
256,1509
257,1509
258,1509
259,1509
260,1509
261,1509
262,1509
263,1509
264,1509
265,1509
266,1509
267,1509
268,1509
269,1509
270,1509
271,1509
272,1509
273,1509
274,1511
275,1511
276,1511
277,1511
278,1511
279,1511
280,1511
281,1511
282,1511
283,1511
284,1511
285,1511
286,1511
287,1511
288,1511
289,1511
290,1511
291,1511
292,1511
293,1511
294,1511
295,1511
296,1511
297,1511
298,1511
299,1521
300,1521
301,1521
302,1521
303,1521
304,1521
305,1521
306,1521
307,1521
308,1521
309,1521
310,1521
311,1521
312,1521
313,1521
314,1521
315,1521
316,1521
317,1521
318,1521
319,1521
320,1521
321,1531
322,1531
323,1531
324,1531
325,1531
326,1531
327,1531
328,1531
329,1531
330,1531
331,1531
332,1531
333,1531
334,1531
335,1531
336,1531
337,1531
338,1531
339,1531
340,1531
341,1531
342,1531
343,1531
344,1531
345,1531
346,1531
347,1531
348,1531
349,1531
350,1531
351,1531
352,1531
353,1531
354,1531
355,1531
356,1531
357,1531
358,1531
359,1531
360,1691
361,1691
362,1691
363,1691
364,1691
365,1691
366,1691
367,1691
368,1691
369,1691
370,1691
371,1691
372,1851
373,1851
374,1862
375,1862
376,1862
377,1862
378,1862
379,1862
380,1862
381,1862
382,1862
383,1862
384,1862
385,1862
386,1862
387,1862
388,1862
389,1862
390,1862
391,1862
392,1862
393,1862
394,1862
395,1862
396,1862
397,1862
398,1862
399,1862
400,1862
401,1862
402,1862
403,1862
404,1862
405,1862
406,1862
407,1862
408,1862
409,1862
410,1862
411,1862
412,1862
413,1862
414,1862
415,1862
416,1862
417,1862
418,1862
419,1862
420,1862
421,1862
422,1862
423,1862
424,1862
425,1862
426,1862
427,1862
428,1862
429,1862
430,1862
431,1862
432,1862
433,1862
434,1862
435,1862
436,1862
437,1862
438,1862
439,1862
440,1862
441,1862
442,1862
443,1862
444,1862
445,1862
446,1862
447,1862
448,1862
449,1868
450,1868
451,1868
452,1868
453,1868
454,1868
455,1868
456,1868
457,1868
458,1868
459,1868
460,1868
461,1868
462,1868
463,1868
464,1868
465,1868
466,1868
467,1868
468,1868
469,1868
470,1868
471,1868
472,1868
473,1868
474,1868
475,1868
476,1868
477,1868
478,1868
479,1868
480,1868
481,1868
482,1868
483,1868
484,1868
485,1868
486,1868
487,1868
488,1868
489,1868
490,1868
491,1868
492,1868
493,1870
494,1870
495,1870
496,1870
497,1870
498,1870
499,1870
500,1870
501,1870
502,1870
503,1870
504,1870
505,1870
506,1870
507,1870
508,1873
509,1873
510,1873
511,1873
512,1873
513,1873
514,1873
515,1873
516,1873
517,1873
518,1873
519,1873
520,1873
521,1873
522,1873
523,1873
524,1873
525,1873
526,1873
527,1873
528,1873
529,1873
530,1873
531,1874
532,1874
533,1874
534,1874
535,1874
536,1874
537,1874
538,1874
539,1874
540,1874
541,1874
542,1874
543,1874
544,1874
545,1874
546,1874
547,1874
548,1874
549,1874
550,1874
551,1874
552,1874
553,1874
554,1874
555,1874
556,1874
557,1874
558,1874
559,1874
560,1874
561,1874
562,1874
563,1874
564,1874
565,1874
566,1874
567,1874
568,1874
569,1874
570,1874
571,1874
572,1874
573,1874
574,1874
575,1874
576,1874
577,1874
578,1874
579,1874
580,1874
581,1874
582,1874
583,1874
584,1874
585,1874
586,1874
587,1874
588,1875
589,1875
590,1875
591,1875
592,1875
593,1875
594,1875
595,1875
