temp_step,best_lucro
0,-1440
1,-1406
2,-1053
3,-1053
4,-1053
5,-460
6,-48
7,70
8,70
9,70
10,70
11,70
12,70
13,70
14,70
15,70
16,491
17,491
18,491
19,491
20,491
21,491
22,491
23,491
24,491
25,491
26,491
27,623
28,673
29,673
30,673
31,931
32,971
33,971
34,971
35,971
36,971
37,971
38,971
39,971
40,971
41,971
42,971
43,971
44,971
45,971
46,971
47,971
48,971
49,971
50,971
51,971
52,971
53,971
54,971
55,971
56,971
57,971
58,971
59,971
60,971
61,971
62,971
63,971
64,971
65,971
66,971
67,971
68,971
69,971
70,971
71,971
72,971
73,971
74,971
75,971
76,971
77,971
78,971
79,971
80,971
81,971
82,971
83,971
84,1115
85,1115
86,1115
87,1115
88,1115
89,1115
90,1115
91,1115
92,1115
93,1115
94,1115
95,1115
96,1115
97,1115
98,1115
99,1115
100,1115
101,1115
102,1115
103,1115
104,1115
105,1115
106,1115
107,1115
108,1115
109,1115
110,1115
111,1115
112,1115
113,1115
114,1115
115,1115
116,1115
117,1115
118,1115
119,1115
120,1115
121,1115
122,1115
123,1115
124,1115
125,1115
126,1115
127,1115
128,1115
129,1115
130,1115
131,1115
132,1115
133,1115
134,1115
135,1115
136,1115
137,1115
138,1115
139,1115
140,1115
141,1115
142,1115
143,1115
144,1115
145,1115
146,1115
147,1115
148,1115
149,1115
150,1115
151,1115
152,1115
153,1115
154,1115
155,1115
156,1115
157,1115
158,1115
159,1115
160,1115
161,1115
162,1115
163,1115
164,1115
165,1115
166,1115
167,1115
168,1115
169,1115
170,1115
171,1115
172,1115
173,1115
174,1115
175,1115
176,1115
177,1115
178,1115
179,1115
180,1115
181,1115
182,1115
183,1115
184,1115
185,1115
186,1115
187,1115
188,1115
189,1115
190,1115
191,1115
192,1115
193,1115
194,1115
195,1115
196,1115
197,1115
198,1115
199,1115
200,1115
201,1115
202,1115
203,1115
204,1115
205,1115
206,1115
207,1115
208,1115
209,1115
210,1115
211,1115
212,1115
213,1115
214,1115
215,1115
216,1115
217,1115
218,1115
219,1115
220,1115
221,1115
222,1115
223,1115
224,1115
225,1115
226,1115
227,1115
228,1115
229,1115
230,1115
231,1115
232,1115
233,1115
234,1115
235,1115
236,1115
237,1115
238,1115
239,1220
240,1220
241,1220
242,1220
243,1220
244,1220
245,1220
246,1220
247,1220
248,1220
249,1220
250,1220
251,1220
252,1267
253,1267
254,1267
255,1267
256,1267
257,1267
258,1267
259,1267
260,1267
261,1267
262,1267
263,1267
264,1267
265,1267
266,1267
267,1267
268,1267
269,1267
270,1267
271,1267
272,1267
273,1267
274,1267
275,1267
276,1267
277,1267
278,1267
279,1267
280,1267
281,1267
282,1267
283,1267
284,1268
285,1268
286,1268
287,1268
288,1268
289,1268
290,1268
291,1268
292,1268
293,1268
294,1268
295,1268
296,1268
297,1268
298,1268
299,1268
300,1268
301,1268
302,1268
303,1268
304,1268
305,1268
306,1268
307,1268
308,1268
309,1268
310,1268
311,1268
312,1268
313,1268
314,1268
315,1268
316,1268
317,1268
318,1268
319,1268
320,1268
321,1268
322,1268
323,1268
324,1268
325,1268
326,1268
327,1268
328,1268
329,1268
330,1268
331,1268
332,1268
333,1268
334,1268
335,1268
336,1268
337,1268
338,1268
339,1268
340,1268
341,1268
342,1268
343,1268
344,1268
345,1268
346,1268
347,1268
348,1268
349,1268
350,1268
351,1268
352,1268
353,1268
354,1268
355,1268
356,1268
357,1268
358,1268
359,1268
360,1268
361,1268
362,1268
363,1268
364,1268
365,1268
366,1268
367,1268
368,1268
369,1268
370,1268
371,1268
372,1268
373,1268
374,1268
375,1268
376,1268
377,1268
378,1268
379,1268
380,1268
381,1268
382,1268
383,1268
384,1268
385,1268
386,1268
387,1268
388,1268
389,1268
390,1268
391,1268
392,1268
393,1268
394,1268
395,1268
396,1268
397,1268
398,1268
399,1268
400,1268
401,1268
402,1268
403,1268
404,1268
405,1268
406,1268
407,1268
408,1268
409,1268
410,1268
411,1383
412,1507
413,1637
414,1637
415,1637
416,1637
417,1637
418,1637
419,1637
420,1637
421,1637
422,1637
423,1637
424,1637
425,1637
426,1637
427,1637
428,1637
429,1637
430,1637
431,1637
432,1637
433,1637
434,1637
435,1637
436,1637
437,1637
438,1637
439,1637
440,1637
441,1637
442,1637
443,1637
444,1637
445,1637
446,1637
447,1637
448,1637
449,1637
450,1637
451,1637
452,1637
453,1637
454,1637
455,1637
456,1637
457,1637
458,1637
459,1637
460,1637
461,1637
462,1637
463,1637
464,1637
465,1637
466,1637
467,1637
468,1637
469,1637
470,1637
471,1637
472,1637
473,1637
474,1637
475,1637
476,1637
477,1637
