temp_step,best_lucro
0,830
1,1072
2,1072
3,1072
4,1072
5,1072
6,1072
7,1072
8,1072
9,1072
10,1072
11,1072
12,1072
13,1072
14,1072
15,1072
16,1072
17,1072
18,1072
19,1072
20,1072
21,1072
22,1072
23,1072
24,1072
25,1072
26,1072
27,1072
28,1072
29,1072
30,1072
31,1072
32,1151
33,1435
34,1435
35,1445
36,1445
37,1445
38,1445
39,1521
40,1521
41,1521
42,1521
43,1521
44,1521
45,1521
46,1521
47,1521
48,1633
49,2028
50,2048
51,2048
52,2048
53,2048
54,2048
55,2048
56,2048
57,2048
58,2048
59,2048
60,2048
61,2048
62,2048
63,2048
64,2048
65,2048
66,2048
67,2048
68,2048
69,2048
70,2048
71,2048
72,2048
73,2048
74,2048
75,2048
76,2048
77,2048
78,2048
79,2048
80,2048
81,2048
82,2048
83,2048
84,2048
85,2048
86,2048
87,2048
88,2048
89,2048
90,2048
91,2048
92,2048
93,2048
94,2048
95,2048
96,2048
97,2048
98,2048
99,2048
100,2048
101,2048
102,2048
103,2048
104,2048
105,2058
106,2058
107,2058
108,2058
109,2058
110,2058
111,2058
112,2058
113,2058
114,2058
115,2058
116,2058
117,2058
118,2058
119,2058
120,2058
121,2058
122,2058
123,2058
124,2058
125,2058
126,2058
127,2058
128,2058
129,2058
130,2058
131,2058
132,2058
133,2058
134,2058
135,2058
136,2058
137,2058
138,2058
139,2058
140,2058
141,2058
142,2058
143,2058
144,2058
145,2058
146,2058
147,2058
148,2058
149,2058
150,2058
151,2058
152,2058
153,2058
154,2058
155,2058
156,2058
157,2058
158,2058
159,2058
160,2058
161,2058
162,2058
163,2058
164,2058
165,2058
166,2058
167,2058
168,2058
169,2058
170,2058
171,2058
172,2058
173,2058
174,2058
175,2058
176,2058
177,2058
178,2058
179,2058
180,2058
181,2058
182,2058
183,2058
184,2058
185,2058
186,2058
187,2058
188,2058
189,2058
190,2058
191,2058
192,2058
193,2058
194,2058
195,2058
196,2058
197,2058
198,2058
199,2058
200,2058
201,2058
202,2058
203,2058
204,2058
205,2058
206,2058
207,2058
208,2058
209,2058
210,2058
211,2058
212,2058
213,2058
214,2283
215,2283
216,2283
217,2283
218,2283
219,2283
220,2283
221,2283
222,2283
223,2283
224,2283
225,2283
226,2283
227,2283
228,2283
229,2283
230,2283
231,2283
232,2283
233,2283
234,2283
235,2283
236,2283
237,2283
238,2283
239,2283
240,2283
241,2283
242,2283
243,2283
244,2283
245,2283
246,2283
247,2283
248,2283
249,2283
250,2283
251,2283
252,2283
253,2283
254,2283
255,2283
256,2283
257,2283
258,2283
259,2283
260,2283
261,2283
262,2283
263,2283
264,2283
265,2283
266,2283
267,2283
268,2283
269,2283
270,2283
271,2283
272,2283
273,2283
274,2283
275,2283
276,2283
277,2283
278,2283
279,2283
280,2283
281,2283
282,2283
283,2283
284,2283
285,2283
286,2283
287,2283
288,2283
289,2283
