temp_step,best_lucro
0,-79
1,178
2,178
3,178
4,178
5,178
6,178
7,178
8,178
9,178
10,178
11,178
12,178
13,178
14,178
15,178
16,178
17,178
18,178
19,178
20,178
21,178
22,178
23,178
24,178
25,178
26,178
27,178
28,178
29,178
30,178
31,178
32,178
33,178
34,343
35,343
36,343
37,343
38,343
39,343
40,343
41,343
42,343
43,343
44,343
45,343
46,343
47,343
48,343
49,343
50,343
51,343
52,343
53,343
54,343
55,343
56,343
57,343
58,343
59,343
60,343
61,343
62,343
63,343
64,343
65,343
66,343
67,343
68,343
69,343
70,343
71,343
72,343
73,343
74,343
75,343
76,343
77,343
78,343
79,343
80,343
81,343
82,343
83,343
84,343
85,343
86,343
87,343
88,343
89,343
90,343
91,343
92,343
93,343
94,343
95,343
96,343
97,343
98,343
99,343
100,343
101,343
102,343
103,343
104,343
105,343
106,343
107,343
108,343
109,343
110,343
111,343
112,343
113,343
114,343
115,343
116,343
117,343
118,343
119,343
120,343
121,343
122,343
123,343
124,343
125,343
126,343
127,343
128,343
129,343
130,343
131,343
132,343
133,343
134,343
135,343
136,343
137,343
138,343
139,343
140,343
141,343
142,343
143,343
144,343
145,343
146,343
147,343
148,343
149,343
150,343
151,343
152,343
153,343
154,343
155,343
156,343
157,343
158,343
159,343
160,343
161,343
162,343
163,343
164,343
165,343
166,343
167,343
168,343
169,343
170,343
171,343
172,343
173,343
174,343
175,343
176,343
177,343
178,343
179,343
180,343
181,343
182,343
183,343
184,343
185,343
186,343
187,343
188,343
189,343
190,343
191,343
192,343
193,343
194,343
195,343
196,343
197,343
198,343
199,343
200,343
201,343
202,343
203,343
204,343
205,343
206,343
207,343
208,343
209,343
210,343
211,343
212,343
213,343
214,343
215,343
216,343
217,343
218,343
219,343
220,343
221,343
222,343
223,343
224,343
225,343
226,343
227,343
228,343
229,343
230,343
231,343
232,343
233,343
234,343
235,343
236,343
237,343
238,343
239,343
240,343
241,343
242,343
243,343
244,343
245,343
246,343
247,343
248,343
249,343
250,343
251,343
252,343
253,343
254,343
255,343
256,343
257,343
258,343
259,343
260,343
261,343
262,343
263,343
264,343
265,343
266,343
267,343
268,343
269,343
270,343
271,343
272,343
273,343
274,343
275,343
276,343
277,343
278,343
279,343
280,343
281,343
282,343
283,343
284,343
285,343
286,343
287,343
288,343
289,343
290,343
291,343
292,343
293,343
294,343
295,343
296,343
297,343
298,343
299,343
300,343
301,343
302,343
303,343
304,343
305,343
306,343
307,343
308,343
309,343
310,343
311,343
312,343
313,343
314,343
315,343
316,343
317,343
318,343
319,343
320,343
321,343
322,343
323,343
324,343
325,343
326,343
327,343
328,343
329,343
330,343
331,343
332,343
333,343
334,343
335,343
336,343
337,343
338,343
339,343
340,343
341,343
342,343
343,343
344,343
345,343
346,343
347,343
348,343
349,343
350,343
351,435
352,883
353,883
354,883
355,883
356,883
357,883
358,883
359,883
360,883
361,883
362,883
363,883
364,883
365,883
366,883
367,883
368,883
369,883
370,883
371,883
372,883
373,883
374,883
375,883
376,883
377,883
378,883
379,883
380,883
381,883
382,883
383,883
384,883
385,883
386,883
387,883
388,883
389,883
390,883
391,883
392,883
393,883
394,883
395,883
396,883
397,883
398,883
399,883
400,883
401,883
402,883
403,883
404,883
405,883
406,883
407,883
408,883
409,883
410,883
411,883
412,883
413,883
414,883
415,883
416,883
417,883
418,883
419,883
420,883
421,883
422,883
423,883
424,883
425,883
426,883
427,883
428,883
429,883
430,883
431,883
432,883
433,883
434,883
435,883
436,883
437,883
438,883
439,883
440,883
441,883
442,883
443,883
444,883
445,883
446,883
447,883
448,883
449,883
450,883
451,883
452,883
453,883
454,883
455,883
456,883
457,883
458,883
459,883
460,883
461,883
462,883
463,883
464,883
465,883
466,883
467,883
468,883
469,883
470,883
471,883
472,883
473,883
474,883
475,883
476,883
477,883
478,883
479,883
480,883
481,883
482,883
483,883
484,883
485,883
486,883
487,883
488,883
489,883
490,883
491,883
492,883
493,883
494,883
495,883
496,883
497,883
498,883
499,883
500,883
501,883
502,883
503,883
504,883
505,883
506,883
507,883
508,883
509,883
510,883
511,883
512,883
513,883
514,883
515,1075
516,1075
517,1075
518,1075
519,1075
