lucro_total,staff_total,baltimore_pr_Sun,baltimore_hr_x_Sun,baltimore_hr_j_Sun,baltimore_pr_Mon,baltimore_hr_x_Mon,baltimore_hr_j_Mon,baltimore_pr_Tue,baltimore_hr_x_Tue,baltimore_hr_j_Tue,baltimore_pr_Wed,baltimore_hr_x_Wed,baltimore_hr_j_Wed,baltimore_pr_Thu,baltimore_hr_x_Thu,baltimore_hr_j_Thu,baltimore_pr_Fri,baltimore_hr_x_Fri,baltimore_hr_j_Fri,baltimore_pr_Sat,baltimore_hr_x_Sat,baltimore_hr_j_Sat,lancaster_pr_Sun,lancaster_hr_x_Sun,lancaster_hr_j_Sun,lancaster_pr_Mon,lancaster_hr_x_Mon,lancaster_hr_j_Mon,lancaster_pr_Tue,lancaster_hr_x_Tue,lancaster_hr_j_Tue,lancaster_pr_Wed,lancaster_hr_x_Wed,lancaster_hr_j_Wed,lancaster_pr_Thu,lancaster_hr_x_Thu,lancaster_hr_j_Thu,lancaster_pr_Fri,lancaster_hr_x_Fri,lancaster_hr_j_Fri,lancaster_pr_Sat,lancaster_hr_x_Sat,lancaster_hr_j_Sat,philadelphia_pr_Sun,philadelphia_hr_x_Sun,philadelphia_hr_j_Sun,philadelphia_pr_Mon,philadelphia_hr_x_Mon,philadelphia_hr_j_Mon,philadelphia_pr_Tue,philadelphia_hr_x_Tue,philadelphia_hr_j_Tue,philadelphia_pr_Wed,philadelphia_hr_x_Wed,philadelphia_hr_j_Wed,philadelphia_pr_Thu,philadelphia_hr_x_Thu,philadelphia_hr_j_Thu,philadelphia_pr_Fri,philadelphia_hr_x_Fri,philadelphia_hr_j_Fri,philadelphia_pr_Sat,philadelphia_hr_x_Sat,philadelphia_hr_j_Sat,richmond_pr_Sun,richmond_hr_x_Sun,richmond_hr_j_Sun,richmond_pr_Mon,richmond_hr_x_Mon,richmond_hr_j_Mon,richmond_pr_Tue,richmond_hr_x_Tue,richmond_hr_j_Tue,richmond_pr_Wed,richmond_hr_x_Wed,richmond_hr_j_Wed,richmond_pr_Thu,richmond_hr_x_Thu,richmond_hr_j_Thu,richmond_pr_Fri,richmond_hr_x_Fri,richmond_hr_j_Fri,richmond_pr_Sat,richmond_hr_x_Sat,richmond_hr_j_Sat
955.0,85,0.1182,0,0,0.0079,3,0,0.0082,3,1,0.0084,3,2,0.0105,3,0,0.0072,3,1,0.0052,0,0,0.0144,0,0,0.0165,2,1,0.0241,3,1,0.015,2,0,0.0242,2,1,0.0167,3,0,0.0493,1,0,0.0575,0,0,0.0722,2,2,0.0055,3,0,0.1449,4,1,0.0059,1,2,0.0222,2,2,0.0318,0,0,0.008,3,2,0.0387,2,1,0.0356,3,2,0.0383,3,2,0.0006,4,2,0.0044,3,1,0.0352,2,1
931.0,81,0.0839,0,0,0.008,3,0,0.0062,3,0,0.0035,3,0,0.0105,4,0,0.0023,3,0,0.0108,0,0,0.0734,0,0,0.0175,3,0,0.024,4,1,0.0157,2,0,0.0246,2,0,0.0167,3,0,0.0452,1,0,0.0577,0,0,0.0746,2,1,0.0056,3,1,0.145,4,0,0.0086,2,1,0.0219,2,0,0.0303,0,0,0.0086,3,1,0.0386,4,1,0.0356,4,2,0.0383,3,2,0.0001,4,2,0.0018,4,1,0.0347,2,0
899.0,80,0.0839,0,0,0.008,3,0,0.0062,3,0,0.0035,3,0,0.0105,4,0,0.0032,3,0,0.0108,0,0,0.0737,0,0,0.0166,3,0,0.0242,4,0,0.0151,2,0,0.0245,2,0,0.0167,3,0,0.0454,1,0,0.0577,0,0,0.0746,2,1,0.0056,3,1,0.145,4,0,0.0074,2,1,0.0271,2,0,0.1548,0,0,0.0085,3,1,0.0386,4,1,0.0356,4,2,0.0383,3,2,0.0001,4,2,0.0018,4,1,0.0347,2,0
851.0,79,0.0839,0,0,0.008,3,0,0.0062,3,0,0.0035,3,0,0.0105,4,0,0.0023,3,0,0.0109,0,0,0.0737,0,0,0.0277,3,0,0.0242,4,0,0.0157,2,0,0.0242,2,0,0.0167,3,0,0.0454,1,0,0.0577,0,0,0.0746,2,1,0.0056,3,0,0.145,4,0,0.0074,2,1,0.0271,2,0,0.1548,0,0,0.0085,3,1,0.0384,4,1,0.0356,4,2,0.0383,3,2,0.0001,4,2,0.0019,4,1,0.0347,2,0
822.0,78,0.0839,0,0,0.008,3,0,0.0062,3,0,0.0035,3,0,0.0087,4,0,0.0023,3,0,0.0108,0,0,0.0732,0,0,0.0167,3,0,0.0242,4,0,0.0149,2,0,0.0245,2,0,0.0167,3,0,0.0468,0,0,0.0577,0,0,0.0746,2,2,0.0056,3,1,0.145,4,0,0.0075,2,1,0.0271,2,0,0.1548,0,0,0.0086,3,1,0.0386,4,1,0.0356,4,2,0.0382,3,2,0.0003,4,2,0.0018,4,1,0.0354,0,0
782.0,77,0.0839,0,0,0.008,3,0,0.0062,3,0,0.0035,3,0,0.0105,4,0,0.0032,3,0,0.0108,0,0,0.0737,0,0,0.0166,3,0,0.0242,4,0,0.0157,2,0,0.0245,2,0,0.0167,3,0,0.0454,1,0,0.0577,0,0,0.0746,2,1,0.0056,3,1,0.145,4,0,0.0074,2,1,0.0271,2,0,0.1548,0,0,0.0085,0,1,0.0386,4,1,0.0356,4,2,0.0383,3,2,0.0001,4,2,0.0018,4,1,0.0347,2,0
741.0,76,0.0839,0,0,0.008,3,0,0.0062,3,0,0.0035,3,0,0.0087,4,0,0.0023,3,0,0.0108,0,0,0.0732,0,0,0.0167,3,0,0.0242,4,0,0.0157,2,0,0.0245,2,0,0.0167,3,0,0.0454,0,0,0.0577,0,0,0.0761,2,1,0.0056,3,1,0.145,4,0,0.0075,2,1,0.0271,2,0,0.1548,0,0,0.0086,3,0,0.0386,4,1,0.0356,4,2,0.0382,3,2,0.0003,4,2,0.002,4,1,0.0354,0,0
715.0,75,0.0839,0,0,0.0083,3,0,0.0062,3,0,0.0035,3,0,0.0098,4,0,0.0023,3,0,0.0094,0,0,0.0737,0,0,0.017,3,0,0.0242,4,0,0.0157,2,0,0.0328,2,0,0.0167,3,0,0.0485,0,0,0.0577,0,0,0.0746,2,1,0.0056,3,1,0.145,4,0,0.0086,2,1,0.0325,2,0,0.1567,0,0,0.0086,0,0,0.0386,4,1,0.0356,4,2,0.0383,3,3,0.0001,4,2,0.0014,4,2,0.0347,0,0
671.0,74,0.0839,0,0,0.0083,3,0,0.0062,3,0,0.0035,3,0,0.0085,4,0,0.0023,3,0,0.0094,0,0,0.0737,0,0,0.017,3,0,0.0229,4,0,0.0157,2,0,0.0245,2,0,0.0167,3,0,0.0342,0,0,0.0577,0,0,0.0746,2,1,0.0056,3,1,0.145,4,0,0.0086,2,1,0.0325,2,0,0.1566,0,0,0.0086,0,0,0.0386,4,1,0.0356,4,2,0.0383,3,2,0.0001,4,2,0.0044,4,2,0.0347,0,0
621.0,73,0.0839,0,0,0.0083,3,0,0.0062,3,0,0.0035,3,0,0.0105,4,0,0.0023,3,0,0.0094,0,0,0.0737,0,0,0.017,3,0,0.0242,4,0,0.0157,2,0,0.0245,2,0,0.0168,3,0,0.0457,0,0,0.0578,0,0,0.0746,2,1,0.0056,3,1,0.145,4,0,0.0086,2,1,0.0325,2,0,0.1567,0,0,0.0086,0,0,0.0386,4,1,0.0356,4,2,0.0383,3,2,0.0001,4,2,0.0044,4,1,0.0334,0,0
