lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
2557.0,83.0,0.32,0.0076,7,8,0.0072,6,3,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0,13,0,0.0073,14,4
2557.0,83.0,0.32,0.0076,7,8,0.0072,6,3,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0,13,0,0.0073,14,4
2546.0,82.0,0.32,0.0076,7,8,0.0072,6,3,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0,12,0,0.0073,14,4
2494.0,81.0,0.32,0.0076,5,8,0.0072,6,3,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0,13,0,0.0073,14,4
2491.0,79.0,0.13,0.0084,7,8,0.0,8,0,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0001,13,0,0.0,15,0
2480.0,78.0,0.13,0.0084,7,8,0.0,8,0,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0001,12,0,0.0,15,0
2432.0,77.0,0.13,0.0086,7,8,0.0,7,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,15,0
2417.0,76.0,0.13,0.0086,5,8,0.0,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,15,0
2387.0,74.0,0.02,0.0007,9,2,0.0001,8,0,0.0004,9,0,0.0,10,0,0.0002,9,0,0.0,12,0,0.0001,15,0
2355.0,73.0,0.02,0.0007,8,2,0.0001,8,0,0.0004,9,0,0.0001,10,0,0.0002,9,0,0.0,12,0,0.0001,15,0
2355.0,73.0,0.02,0.0007,8,2,0.0001,8,0,0.0004,9,0,0.0001,10,0,0.0002,9,0,0.0,12,0,0.0001,15,0
2295.0,71.0,0.01,0.0,8,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,13,0,0.0,14,0
2295.0,71.0,0.01,0.0,8,0,0.0001,8,0,0.0001,9,0,0.0,10,0,0.0002,9,0,0.0001,13,0,0.0,14,0
2251.0,69.0,0.02,0.0005,7,0,0.0,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2251.0,69.0,0.02,0.0005,7,0,0.0,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2187.0,67.0,0.01,0.0,5,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2187.0,67.0,0.01,0.0,5,0,0.0001,8,0,0.0,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2140.0,66.0,0.01,0.0,5,0,0.0001,8,0,0.0,8,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2107.0,65.0,0.01,0.0001,4,0,0.0001,8,0,0.0001,9,0,0.0001,9,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2107.0,65.0,0.01,0.0003,4,0,0.0001,8,0,0.0,9,0,0.0002,9,0,0.0002,9,0,0.0001,12,0,0.0,14,0
2057.0,63.0,0.01,0.0,5,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0002,10,0
2057.0,63.0,0.01,0.0,5,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0002,10,0
1993.0,61.0,0.01,0.0003,2,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,11,0
1993.0,61.0,0.01,0.0003,2,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,11,0
1928.0,59.0,0.01,0.0003,0,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,11,0
1928.0,59.0,0.01,0.0003,0,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0,11,0
1863.0,57.0,0.02,0.0007,7,0,0.0001,8,0,0.0,9,0,0.0001,10,0,0.0002,9,0,0.0,12,0,0.0,2,0
1863.0,57.0,0.02,0.0007,7,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,9,0,0.0,12,0,0.0001,2,0
1816.0,56.0,0.02,0.0007,7,0,0.0001,8,0,0.0,9,0,0.0001,10,0,0.0002,9,0,0.0,11,0,0.0001,2,0
1816.0,56.0,0.02,0.0007,7,0,0.0001,8,0,0.0,9,0,0.0001,9,0,0.0002,9,0,0.0,12,0,0.0,2,0
1751.0,54.0,0.02,0.0007,5,0,0.0001,8,0,0.0,9,0,0.0001,10,0,0.0002,9,0,0.0,11,0,0.0001,2,0
1751.0,54.0,0.02,0.0007,5,0,0.0001,8,0,0.0,9,0,0.0001,10,0,0.0002,9,0,0.0,11,0,0.0001,2,0
1687.0,52.0,0.01,0.0001,5,0,0.0001,8,0,0.0001,8,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0002,0,0
1687.0,52.0,0.01,0.0001,5,0,0.0001,8,0,0.0001,8,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0002,0,0
1655.0,51.0,0.01,0.0002,2,0,0.0001,8,0,0.0001,9,0,0.0001,9,0,0.0002,9,0,0.0001,12,0,0.0,2,0
1655.0,51.0,0.01,0.0002,2,0,0.0001,8,0,0.0001,9,0,0.0001,9,0,0.0002,9,0,0.0001,12,0,0.0,2,0
1590.0,49.0,0.02,0.0007,0,0,0.0001,8,0,0.0,9,0,0.0001,9,0,0.0002,9,0,0.0,12,0,0.0,2,0
1590.0,49.0,0.02,0.0007,0,0,0.0001,8,0,0.0,9,0,0.0001,9,0,0.0002,9,0,0.0,12,0,0.0,2,0
1525.0,47.0,0.18,0.0003,0,0,0.0001,8,0,0.0001,8,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0115,0,0
1478.0,46.0,0.18,0.0003,0,0,0.0001,8,0,0.0001,8,0,0.0001,10,0,0.0002,9,0,0.0001,11,0,0.0115,0,0
1431.0,45.0,0.02,0.0009,0,0,0.0,8,0,0.0001,8,0,0.0001,9,0,0.0002,9,0,0.0,11,0,0.0002,0,0
1431.0,45.0,0.02,0.0009,0,0,0.0,8,0,0.0001,8,0,0.0001,9,0,0.0002,9,0,0.0,11,0,0.0,0,0
1383.0,44.0,0.16999999999999998,0.0003,0,0,0.0001,5,0,0.0001,8,0,0.0001,10,0,0.0002,9,0,0.0001,12,0,0.0113,0,0
1289.0,42.0,0.02,0.0003,0,0,0.0001,8,0,0.0001,8,0,0.0001,5,0,0.0002,9,0,0.0001,12,0,0.0005,0,0
1242.0,41.0,0.02,0.0007,0,0,0.0001,8,0,0.0001,8,0,0.0002,5,0,0.0002,9,0,0.0001,11,0,0.0,0,0
1194.0,40.0,0.13999999999999999,0.0077,0,0,0.0001,8,0,0.0001,9,0,0.0001,10,0,0.0002,2,0,0.0001,11,0,0.0016,0,0
1194.0,40.0,0.02,0.001,0,0,0.0001,8,0,0.0001,9,0,0.0001,2,0,0.0002,9,0,0.0,12,0,0.0002,0,0
1100.0,38.0,0.01,0.0003,0,0,0.0001,8,0,0.0001,8,0,0.0001,2,0,0.0002,9,0,0.0001,11,0,0.0001,0,0
1100.0,38.0,0.04,0.0005,0,0,0.0001,8,0,0.0001,5,0,0.0001,5,0,0.0002,9,0,0.0001,11,0,0.0016,0,0
1052.0,37.0,0.01,0.0003,0,0,0.0001,8,0,0.0001,8,0,0.0001,2,0,0.0002,8,0,0.0001,11,0,0.0001,0,0
1005.0,36.0,0.02,0.0005,0,0,0.0001,8,0,0.0001,5,0,0.0001,10,0,0.0002,2,0,0.0001,11,0,0.0001,0,0
957.0,35.0,0.01,0.0002,0,0,0.0001,0,0,0.0001,5,0,0.0001,10,0,0.0002,9,0,0.0001,11,0,0.0,0,0
911.0,34.0,0.16,0.0003,0,0,0.0001,8,0,0.0001,8,0,0.0001,5,0,0.0002,2,0,0.0001,11,0,0.0101,0,0
863.0,33.0,0.02,0.0007,0,0,0.0001,8,0,0.0001,0,0,0.0002,5,0,0.0002,9,0,0.0001,11,0,0.0002,0,0
863.0,33.0,0.02,0.0007,0,0,0.0001,8,0,0.0001,0,0,0.0002,5,0,0.0002,9,0,0.0001,11,0,0.0002,0,0
769.0,31.0,0.04,0.0005,0,0,0.0001,8,0,0.0001,5,0,0.0001,5,0,0.0002,2,0,0.0001,11,0,0.0016,0,0
769.0,31.0,0.03,0.0002,0,0,0.0,8,0,0.0001,5,0,0.0001,5,0,0.0002,2,0,0.0001,11,0,0.0016,0,0
721.0,30.0,0.01,0.0002,0,0,0.0001,0,0,0.0001,5,0,0.0001,5,0,0.0002,9,0,0.0001,11,0,0.0,0,0
674.0,29.0,0.01,0.0003,0,0,0.0001,8,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,12,0,0.0002,0,0
627.0,28.0,0.26,0.0076,0,0,0.0001,5,0,0.0001,5,0,0.0001,5,0,0.0002,2,0,0.0,11,0,0.0103,0,0
627.0,28.0,0.26,0.0076,0,0,0.0001,5,0,0.0001,5,0,0.0001,5,0,0.0002,2,0,0.0,11,0,0.0103,0,0
579.0,27.0,0.01,0.0,0,0,0.0001,0,0,0.0001,5,0,0.0001,2,0,0.0002,9,0,0.0,11,0,0.0,0,0
579.0,27.0,0.01,0.0002,0,0,0.0001,0,0,0.0001,5,0,0.0001,2,0,0.0002,9,0,0.0,11,0,0.0,0,0
485.0,25.0,0.03,0.0007,0,0,0.0001,8,0,0.0001,8,0,0.0001,5,0,0.0002,2,0,0.0,2,0,0.0009,0,0
485.0,25.0,0.13999999999999999,0.0083,0,0,0.0001,8,0,0.0001,8,0,0.0001,5,0,0.0002,2,0,0.0,2,0,0.0009,0,0
437.0,24.0,0.2,0.001,0,0,0.0001,5,0,0.0001,5,0,0.0001,0,0,0.0002,2,0,0.0001,12,0,0.012,0,0
437.0,24.0,0.02,0.001,0,0,0.0001,8,0,0.0001,5,0,0.0001,2,0,0.0002,9,0,0.0,0,0,0.0001,0,0
390.0,23.0,0.03,0.0007,0,0,0.0001,5,0,0.0001,5,0,0.0001,2,0,0.0002,9,0,0.0,2,0,0.0012,0,0
390.0,23.0,0.04,0.0005,0,0,0.0001,0,0,0.0001,5,0,0.0001,5,0,0.0002,2,0,0.0001,11,0,0.0016,0,0
343.0,22.0,0.13,0.0011,0,0,0.0001,8,0,0.0001,5,0,0.0001,5,0,0.0001,2,0,0.0001,2,0,0.0074,0,0
295.0,21.0,0.12,0.0003,0,0,0.0001,0,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,12,0,0.0075,0,0
295.0,21.0,0.12,0.0003,0,0,0.0001,0,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,12,0,0.0075,0,0
248.0,20.0,0.27999999999999997,0.0076,0,0,0.0001,8,0,0.0001,5,0,0.0001,5,0,0.0002,2,0,0.0001,0,0,0.0112,0,0
201.0,19.0,0.03,0.0007,0,0,0.0001,8,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,2,0,0.0012,0,0
153.0,18.0,0.04,0.001,0,0,0.0001,0,0,0.0001,5,0,0.0,2,0,0.0002,9,0,0.0,2,0,0.0013,0,0
106.0,17.0,0.02,0.001,0,0,0.0001,8,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,0,0,0.0001,0,0
106.0,17.0,0.02,0.001,0,0,0.0001,8,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,0,0,0.0001,0,0
59.0,16.0,0.03,0.0007,0,0,0.0001,5,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0,2,0,0.0012,0,0
11.0,15.0,0.16,0.0005,0,0,0.0001,8,0,0.0001,3,0,0.0001,2,0,0.0002,2,0,0.0002,0,0,0.01,0,0
-36.0,14.0,0.04,0.001,0,0,0.0001,0,0,0.0001,8,0,0.0001,2,0,0.0002,2,0,0.0001,2,0,0.0013,0,0
-84.0,13.0,0.16999999999999998,0.0003,0,0,0.0001,0,0,0.0001,7,0,0.0001,2,0,0.0003,2,0,0.0001,2,0,0.0111,0,0
-84.0,13.0,0.16999999999999998,0.0003,0,0,0.0001,0,0,0.0001,7,0,0.0001,2,0,0.0003,2,0,0.0001,2,0,0.0111,0,0
-178.0,11.0,0.03,0.0005,0,0,0.0001,0,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0001,2,0,0.0013,0,0
-178.0,11.0,0.03,0.0005,0,0,0.0001,0,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0001,2,0,0.0013,0,0
-226.0,10.0,0.05,0.0005,0,0,0.0001,6,0,0.0002,0,0,0.0001,2,0,0.0002,2,0,0.0001,0,0,0.0021,0,0
-226.0,10.0,0.05,0.0005,0,0,0.0001,6,0,0.0002,0,0,0.0001,2,0,0.0002,2,0,0.0001,0,0,0.0021,0,0
-273.0,9.0,0.01,0.0005,0,0,0.0,0,0,0.0001,5,0,0.0001,2,0,0.0002,2,0,0.0001,0,0,0.0,0,0
-321.0,8.0,0.66,0.0011,0,0,0.0001,8,0,0.0335,0,0,0.0001,0,0,0.0002,0,0,0.0,0,0,0.0109,0,0
-321.0,8.0,0.6799999999999999,0.0005,0,0,0.0,8,0,0.0359,0,0,0.0001,0,0,0.0002,0,0,0.0,0,0,0.0108,0,0
-415.0,6.0,0.84,0.0003,0,0,0.0001,0,0,0.0471,0,0,0.0001,2,0,0.0003,2,0,0.0001,2,0,0.0111,0,0
-463.0,5.0,0.02,0.0005,0,0,0.0,0,0,0.0002,0,0,0.0002,2,0,0.0002,1,0,0.0001,2,0,0.0002,0,0
-510.0,4.0,0.02,0.001,0,0,0.0002,0,0,0.0,0,0,0.0,2,0,0.0002,2,0,0.0001,0,0,0.0,0,0
-510.0,4.0,0.02,0.001,0,0,0.0002,0,0,0.0,0,0,0.0,2,0,0.0002,2,0,0.0001,0,0,0.0,0,0
-558.0,3.0,0.02,0.0004,0,0,0.0,0,0,0.0001,0,0,0.0002,2,0,0.0002,1,0,0.0001,0,0,0.0001,0,0
-558.0,3.0,0.02,0.0004,0,0,0.0,0,0,0.0001,0,0,0.0002,2,0,0.0002,1,0,0.0001,0,0,0.0001,0,0
-605.0,2.0,0.29,0.0005,0,0,0.0,0,0,0.0086,0,0,0.0001,0,0,0.0002,2,0,0.0,0,0,0.0109,0,0
-605.0,2.0,0.29,0.0005,0,0,0.0,0,0,0.0086,0,0,0.0001,0,0,0.0002,2,0,0.0,0,0,0.0109,0,0
-653.0,1.0,0.22,0.0005,0,0,0.0001,0,0,0.0086,0,0,0.0001,0,0,0.0057,1,0,0.0001,0,0,0.0,0,0
-700.0,0.0,0.84,0.0007,0,0,0.0,0,0,0.0466,0,0,0.0001,0,0,0.0002,0,0,0.0,0,0,0.0108,0,0
-700.0,0.0,0.6799999999999999,0.0005,0,0,0.0,0,0,0.0359,0,0,0.0001,0,0,0.0002,0,0,0.0,0,0,0.0108,0,0
