lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
3655.0,99.0,3.7900000000000005,0.0148,15,2,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0872,11,0,0.015,15,0,0.0314,12,11
3655.0,99.0,3.7900000000000005,0.0148,15,2,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,15,0,0.0314,12,11
3621.0,97.0,3.7900000000000005,0.0148,15,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0872,11,0,0.015,15,0,0.0314,12,11
3608.0,96.0,3.7900000000000005,0.0148,15,0,0.015,10,0,0.0149,11,0,0.0874,12,0,0.0871,11,0,0.015,15,0,0.0313,12,10
3608.0,96.0,3.7900000000000005,0.0148,15,0,0.015,10,0,0.0149,11,0,0.0872,12,0,0.0871,11,0,0.015,15,0,0.0313,12,10
3533.0,94.0,3.7900000000000005,0.0148,14,2,0.015,10,0,0.0149,11,0,0.0872,12,0,0.0872,11,0,0.0149,15,0,0.0313,12,7
3533.0,94.0,3.7900000000000005,0.0148,14,2,0.015,10,0,0.0149,11,0,0.0872,12,0,0.0872,11,0,0.0149,15,0,0.0313,12,7
3478.0,91.0,3.63,0.0148,15,2,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,15,0,0.0196,15,0
3478.0,91.0,3.62,0.0148,15,2,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,15,0,0.0196,15,0
3445.0,89.0,3.62,0.0148,15,0,0.015,10,0,0.0149,11,0,0.0873,12,0,0.0872,11,0,0.015,15,0,0.0191,15,0
3445.0,89.0,3.62,0.0148,15,0,0.015,10,0,0.0149,11,0,0.0873,12,0,0.0872,11,0,0.015,15,0,0.0191,15,0
3365.0,87.0,3.66,0.0149,15,0,0.0148,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,15,0,0.0223,13,0
3365.0,87.0,3.66,0.0149,15,0,0.0148,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,15,0,0.0223,13,0
3315.0,86.0,3.66,0.0149,15,0,0.0148,10,0,0.015,11,0,0.0873,12,0,0.0871,10,0,0.015,15,0,0.0223,13,0
3293.0,85.0,3.62,0.0149,11,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0872,11,0,0.015,15,0,0.0193,15,0
3217.0,83.0,3.64,0.0151,12,0,0.0149,10,0,0.0149,11,0,0.0873,12,0,0.0873,11,0,0.015,15,0,0.0204,12,0
3217.0,83.0,3.64,0.0151,12,0,0.0149,10,0,0.0149,11,0,0.0873,12,0,0.0873,11,0,0.015,15,0,0.0204,12,0
3183.0,82.0,3.61,0.0149,11,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.015,15,0,0.0183,12,0
3123.0,81.0,3.5900000000000003,0.0152,12,0,0.0149,10,0,0.015,11,0,0.0873,10,0,0.0873,11,0,0.015,15,0,0.0169,12,0
3079.0,80.0,3.66,0.0172,11,0,0.0149,10,0,0.015,11,0,0.0873,10,0,0.0873,11,0,0.015,15,0,0.0193,12,0
3031.0,78.0,3.61,0.0149,7,0,0.0149,10,0,0.015,11,0,0.0874,12,0,0.0871,11,0,0.015,15,0,0.0187,12,0
2942.0,76.0,3.5999999999999996,0.0148,6,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,14,0,0.0177,12,0
2942.0,76.0,3.5999999999999996,0.0148,6,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,14,0,0.0177,12,0
2886.0,74.0,3.66,0.0149,15,0,0.0148,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,15,0,0.0223,0,0
2840.0,73.0,3.64,0.0151,2,0,0.0149,10,0,0.0149,11,0,0.0873,12,0,0.0873,11,0,0.015,15,0,0.0204,12,0
2840.0,73.0,3.64,0.0151,2,0,0.0149,10,0,0.0149,11,0,0.0873,12,0,0.0873,11,0,0.0149,15,0,0.0204,12,0
2772.0,71.0,3.64,0.0149,11,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.015,15,0,0.0204,1,0
2715.0,70.0,3.5999999999999996,0.0152,0,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,14,0,0.0177,12,0
2715.0,70.0,3.5999999999999996,0.0152,0,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.015,14,0,0.0177,12,0
2658.0,68.0,3.62,0.0148,7,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.0149,15,0,0.0192,2,0
2658.0,68.0,3.62,0.0148,7,0,0.0149,10,0,0.015,11,0,0.0873,12,0,0.0871,11,0,0.0149,15,0,0.0192,2,0
2583.0,66.0,3.62,0.0149,7,0,0.0149,10,0,0.015,11,0,0.0874,12,0,0.0871,11,0,0.015,15,0,0.0191,0,0
2583.0,66.0,3.62,0.0149,7,0,0.0149,10,0,0.015,11,0,0.0874,12,0,0.0871,11,0,0.015,15,0,0.0191,0,0
2545.0,65.0,3.62,0.0149,6,0,0.0149,10,0,0.015,11,0,0.0874,12,0,0.0871,11,0,0.015,15,0,0.0191,0,0
2545.0,65.0,3.62,0.0149,6,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0871,11,0,0.015,15,0,0.0191,0,0
2470.0,63.0,3.8899999999999997,0.0148,4,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.0149,15,0,0.0382,0,0
2470.0,63.0,3.91,0.0151,4,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.0149,15,0,0.039,0,0
2395.0,61.0,3.82,0.0151,2,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.0149,15,0,0.0327,0,0
2395.0,61.0,3.91,0.0151,2,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.0149,15,0,0.039,0,0
2342.0,60.0,3.64,0.0151,2,0,0.0149,10,0,0.0149,11,0,0.0874,12,0,0.0873,11,0,0.0149,14,0,0.0204,0,0
