lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
6309.0,171.0,1.77,0.0528,2,15,0.0001,13,9,0.0,13,10,0.0,15,10,0.0708,9,15,0.0001,15,15,0.0001,15,15
6309.0,171.0,1.77,0.0528,2,15,0.0001,13,9,0.0,13,10,0.0,15,10,0.0708,9,15,0.0001,15,15,0.0001,15,15
6258.0,169.0,1.77,0.0528,0,15,0.0001,13,9,0.0,13,10,0.0,15,10,0.0708,9,15,0.0001,15,15,0.0001,15,15
6116.0,165.0,1.78,0.0533,1,14,0.0,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0004,13,15
6116.0,165.0,1.78,0.0533,1,14,0.0,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0004,13,15
6083.0,164.0,1.78,0.0533,1,13,0.0,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0004,13,15
6021.0,163.0,1.78,0.0533,1,14,0.0,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,13,15,0.0004,13,15
5795.0,156.0,1.77,0.0528,2,1,0.0001,13,9,0.0,13,10,0.0,15,10,0.0708,8,15,0.0001,15,15,0.0001,15,15
5769.0,154.0,1.77,0.0528,0,15,0.0001,13,9,0.0,12,11,0.0,15,10,0.0708,9,15,0.0001,15,15,0.0001,0,15
5670.0,151.0,1.78,0.0533,0,14,0.0001,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0004,0,15
5670.0,151.0,1.78,0.0533,0,14,0.0001,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0004,0,15
5566.0,148.0,1.79,0.0533,0,14,0.0001,14,6,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0006,12,0
5524.0,147.0,1.79,0.0533,0,14,0.0001,14,5,0.0,12,11,0.0,15,10,0.0708,9,15,0.0002,15,15,0.0006,12,0
5445.0,145.0,1.77,0.0528,0,14,0.0001,14,6,0.0,12,11,0.0,15,10,0.0707,9,15,0.0002,14,14,0.0004,11,0
