lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
1810.0,53.0,3.56,0.0716,1,9,0.0009,5,1,0.0355,4,2,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0351,11,0
1810.0,53.0,3.56,0.0716,1,9,0.0009,5,1,0.0355,4,2,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0351,11,0
1779.0,52.0,3.5700000000000003,0.0716,1,9,0.0009,5,0,0.0355,4,2,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0351,11,0
1779.0,52.0,3.55,0.0716,1,9,0.0008,5,0,0.0355,4,2,0.0355,6,0,0.0348,6,0,0.0358,8,0,0.0347,11,0
1774.0,51.0,4.09,0.0717,0,9,0.0364,5,0,0.0355,6,0,0.0355,6,0,0.0347,6,0,0.0358,8,0,0.0366,11,0
1737.0,50.0,4.09,0.0717,0,8,0.0364,5,0,0.0355,6,0,0.0355,6,0,0.0347,6,0,0.0358,8,0,0.0366,11,0
1737.0,50.0,4.09,0.0717,0,8,0.0364,5,0,0.0355,6,0,0.0355,6,0,0.0347,6,0,0.0358,8,0,0.0366,11,0
1695.0,49.0,4.09,0.0717,0,8,0.0364,5,0,0.0355,6,0,0.0355,6,0,0.0347,6,0,0.0358,8,0,0.0366,10,0
1695.0,49.0,4.09,0.0717,0,8,0.0364,5,0,0.0355,6,0,0.0355,6,0,0.0347,6,0,0.0358,8,0,0.0366,10,0
1645.0,48.0,3.5999999999999996,0.072,0,7,0.0001,5,0,0.0355,6,0,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0377,10,0
1645.0,48.0,3.5999999999999996,0.072,0,7,0.0001,5,0,0.0355,6,0,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0377,10,0
1610.0,47.0,3.5999999999999996,0.0717,1,4,0.0001,5,0,0.0355,6,0,0.0355,6,0,0.035,6,0,0.0358,8,0,0.0386,11,0
1610.0,47.0,3.5999999999999996,0.0717,1,4,0.0001,5,0,0.0355,6,0,0.0355,6,0,0.035,6,0,0.0358,8,0,0.0386,11,0
1576.0,46.0,3.58,0.0716,0,4,0.0001,5,0,0.0355,6,0,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0366,11,0
1576.0,46.0,3.58,0.0717,0,4,0.0001,5,0,0.0355,6,0,0.0355,6,0,0.0353,6,0,0.0358,8,0,0.0366,11,0
1542.0,45.0,4.130000000000001,0.0717,0,4,0.0373,5,0,0.0355,6,0,0.0355,6,0,0.0353,6,0,0.0354,8,0,0.0386,10,0
