Store,Fold,Train_Size,Test_Size,RF_MAE,RF_RMSE,RF_MAPE,RF_NMAE,LR_MAE,LR_RMSE,LR_MAPE,LR_NMAE,HW_MAE,HW_RMSE,HW_MAPE,HW_NMAE
Baltimore,1,59,57,49.0853,105.2888,20.8103,29.0492,46.2482,78.3302,24.857,27.3702,105.4511,176.0012,50.4365,62.4072
Baltimore,2,116,57,67.828,104.3244,33.867,34.8833,69.3261,106.5026,36.2446,35.6538,93.004,119.1683,68.7582,47.8311
Baltimore,3,173,57,45.8695,61.829,46.2855,33.7397,40.4215,52.9827,39.8618,29.7324,64.6951,122.1834,37.5885,47.587
Baltimore,4,230,57,13.175,17.1883,12.4239,12.3343,27.0312,32.3998,26.3716,25.3064,27.518,34.2217,25.0835,25.7621
Baltimore,5,287,57,13.6189,24.7511,10.5509,9.861,23.1145,32.9474,18.2888,16.7364,62.3395,115.3545,41.7522,45.1379
Baltimore,6,344,57,14.5643,18.1421,12.2978,12.317,25.3337,31.1487,22.0364,21.4246,34.0837,39.4471,29.8089,28.8245
Baltimore,7,401,57,21.371,31.3188,20.2805,17.6819,39.4812,55.969,35.6372,32.666,88.549,108.4963,82.8556,73.2636
Baltimore,8,458,57,44.5138,89.5622,26.3385,25.8053,54.5381,86.3458,40.0178,31.6165,73.0325,134.2255,32.4599,42.3379
Baltimore,9,515,57,48.8434,67.1718,42.3607,36.1615,53.567,67.9731,51.7838,39.6587,62.4163,101.517,37.0857,46.2103
Baltimore,10,572,57,13.2817,17.256,16.5936,15.7294,20.8031,25.4555,26.1021,24.6369,26.0786,31.5405,30.9646,30.8846
Baltimore,11,629,57,11.9429,19.6168,11.4876,10.9674,18.4658,25.5854,19.3674,16.9575,75.0685,95.8063,73.2928,68.9368
Lancaster,1,59,57,74.9596,155.2595,19.6792,26.0243,71.7131,108.795,24.9217,24.8971,179.1783,287.6932,51.5505,62.2066
Lancaster,2,116,57,113.2704,166.003,38.4384,34.8058,114.1737,167.8129,39.6364,35.0833,150.2111,190.1549,68.1215,46.1569
Lancaster,3,173,57,69.8154,87.6958,44.6865,31.7155,64.137,85.1451,39.233,29.1359,104.6895,195.8987,37.6087,47.558
Lancaster,4,230,57,21.4904,27.4289,13.5224,12.8604,42.5653,49.6208,27.3477,25.4721,46.8031,57.897,27.2377,28.0082
Lancaster,5,287,57,22.9599,34.3866,12.2113,11.0034,38.1834,50.1929,20.217,18.2992,106.1979,183.6074,49.6507,50.8948
Lancaster,6,344,57,22.6244,27.7039,14.0116,13.1564,39.9376,49.669,23.9846,23.2243,60.9182,69.091,37.2237,35.4248
Lancaster,7,401,57,50.7929,82.6884,32.3903,29.9927,63.3032,93.8558,39.3315,37.3799,125.7596,153.6158,82.8606,74.2598
Lancaster,8,458,57,66.8268,140.4806,31.0431,28.3801,85.8603,133.0978,47.1691,36.4632,99.4906,186.4913,34.1918,42.2518
Lancaster,9,515,57,75.8921,102.1251,48.4965,43.085,84.2078,109.4863,56.0255,47.806,84.4047,129.8762,41.0549,47.9178
Lancaster,10,572,57,18.2518,24.3906,18.9949,17.2433,36.1653,42.0632,38.88,34.1669,42.4766,52.0544,39.197,40.1294
Lancaster,11,629,57,15.5075,21.8357,13.5431,11.7698,28.2926,38.1253,24.6918,21.4734,88.2486,116.7853,67.7524,66.9785
Philadelphia,1,59,57,82.0886,193.6251,20.4509,30.9515,73.6216,149.9581,22.9627,27.759,167.4065,294.4949,49.5514,63.1207
Philadelphia,2,116,57,111.6717,183.196,33.3842,35.7858,112.2682,188.5054,33.3547,35.9769,146.5376,199.6803,64.259,46.9588
Philadelphia,3,173,57,65.0698,100.4621,35.8047,28.6949,68.9096,92.6496,41.7405,30.3882,102.0785,207.987,32.1424,45.0153
Philadelphia,4,230,57,21.9926,30.6441,12.9882,11.9127,44.2364,53.3692,24.8349,23.9615,42.5361,52.4115,22.6301,23.0405
Philadelphia,5,287,57,29.8996,51.0556,12.3244,11.9597,44.5383,69.5861,17.8829,17.8151,100.2442,203.0774,34.3603,40.0971
Philadelphia,6,344,57,24.1817,31.455,11.1527,10.8643,46.8776,58.4903,21.2154,21.0611,48.7877,58.0382,22.0204,21.9193
Philadelphia,7,401,57,26.768,36.7683,13.398,11.3334,63.8562,89.1454,28.8061,27.0363,161.8637,203.3756,76.7447,68.5319
Philadelphia,8,458,57,92.5907,159.2839,29.4957,26.4467,100.6679,167.8147,33.2211,28.7538,148.515,269.6749,31.1115,42.4204
Philadelphia,9,515,57,69.3727,99.0041,26.9848,24.0357,95.1041,116.7937,43.8515,32.951,154.8077,220.9202,55.4077,53.6366
Philadelphia,10,572,57,24.5025,33.6701,12.7853,12.9956,41.1698,51.8124,22.0715,21.8357,42.3906,53.0537,23.4858,22.4832
Philadelphia,11,629,57,31.4456,62.538,11.6806,12.4922,46.7293,76.1307,17.8865,18.5638,164.4343,211.6274,70.467,65.3237
Richmond,1,59,57,27.8493,62.9677,20.5555,29.9061,27.3618,50.7461,24.6639,29.3825,58.8166,100.2115,50.6017,63.1604
Richmond,2,116,57,37.7514,60.873,32.6611,34.9239,38.1792,62.1905,34.3538,35.3196,50.8362,67.3203,65.7611,47.0286
Richmond,3,173,57,24.9654,38.2914,39.7417,32.4856,22.946,30.7007,40.587,29.8579,36.613,70.1978,37.0517,47.6417
Richmond,4,230,57,7.087,9.6338,12.1258,11.5997,15.7226,18.7057,27.1052,25.734,15.2304,18.8856,24.3501,24.9284
Richmond,5,287,57,9.0832,16.0561,11.4886,11.2443,13.5457,20.3695,17.4202,16.7685,34.7208,66.9818,38.4356,42.9816
Richmond,6,344,57,6.5702,8.3921,9.7939,9.3648,14.9176,18.8067,21.7402,21.2629,18.0086,21.0989,26.1373,25.6687
Richmond,7,401,57,9.2311,12.7717,15.5203,12.6591,21.4409,30.645,31.5294,29.403,52.008,64.6727,80.1375,71.3211
Richmond,8,458,57,26.5411,52.4617,25.884,25.0472,32.1037,52.3414,37.4997,30.2966,44.6012,82.4141,31.3453,42.0907
Richmond,9,515,57,24.8624,34.6083,32.0993,29.3894,32.0741,39.553,49.8287,37.9142,38.7723,63.6844,36.8987,45.832
Richmond,10,572,57,7.9804,10.7305,15.2279,14.8413,12.8151,15.7401,25.0176,23.8323,14.6406,17.8761,27.4786,27.2273
Richmond,11,629,57,7.1236,12.1493,10.6163,10.0843,12.8792,19.2946,19.7698,18.2321,48.0634,61.71,72.8181,68.0395
